t_id,visitas,compartir,duracion,favorito
3398,295872,33134,373,8567
10194,792515,25021,430,6473
263,81926,4663,391,3227
1242,363123,78605,343,9064
2840,614929,64253,278,4151
8772,625084,90654,356,6147
6862,944046,81920,169,4770
6871,134654,5015,63,6966
7391,705448,54124,602,4137
1570,280233,27912,119,5179
2463,862418,26486,,2348
4469,10389,99153,306,7311
2507,22454,25223,700,3980
9283,69234,63541,319,5046
8646,695934,35765,50,1917
6784,870982,2504,467,9986
1610,967596,81811,,8072
9508,159457,29495,208,2426
4107,67540,10242,389,1370
3474,250705,69710,280,
8197,401310,23458,314,2238
1181,994115,44591,1,8037
624,803429,27790,361,5404
5575,972353,37473,108,7005
2042,691838,32800,,1828
8114,205184,39595,548,9173
10246,177779,94117,136,6839
9029,164539,91581,636,7461
1680,992915,53848,138,1148
2874,609055,78284,235,2783
6448,896147,9877,69,8045
8294,635214,80310,169,6934
5244,25694,25480,465,4580
7338,125871,13360,322,6207
5926,808332,94964,529,
5914,653944,84346,245,5656
3888,6185,13380,381,3866
763,924638,46004,302,37
739,806786,60163,,9961
9961,983275,80597,263,4098
1338,293638,97850,79,4209
5258,69709,76731,381,7395
4053,276434,26853,464,4383
2678,349802,535,,8915
3495,673819,68320,204,6995
4930,233412,65600,325,1462
4904,810474,72125,531,3296
6391,797792,67339,679,5926
3146,947793,78641,755,1921
4489,437748,97174,78,8372
9521,698984,55899,268,8095
4454,921671,87275,453,5691
4708,36755,61772,190,5279
9340,518570,80566,530,5484
8145,73768,61821,334,3540
1461,751886,67633,388,6914
440,744904,86727,327,774
7844,392707,71038,421,7694
3851,458707,51209,92,3036
334,314541,32688,389,8678
7928,675544,57116,384,5872
9168,456040,99951,318,5258
6455,645019,22796,489,3630
3767,835172,82009,303,1625
6135,762750,61943,171,7631
5215,504992,65376,233,5935
5207,333538,52458,269,4832
10021,506229,90567,368,6458
5035,806063,34331,114,8461
3103,888299,93556,,701
6775,252108,88915,8,3617
8263,276391,15584,238,1369
1376,81277,90739,473,2206
6494,302660,37279,9,4022
1510,497430,21070,197,8357
356,448714,22023,389,4560
8521,816739,26277,361,6331
5722,893073,5008,363,1005
2683,27396,62107,299,8098
8340,9140,98182,45,3015
4020,620472,48853,125,6337
7006,289183,55117,,8908
3226,597930,15802,545,5638
6287,219982,2689,26,1340
7119,30322,64462,,6849
3375,343404,28646,,587
3106,603317,76254,,385
6804,154810,85107,263,7025
5352,694464,97510,405,
2339,169334,5367,,5498
7771,231347,61647,218,3566
2422,843025,57215,528,9909
1597,324099,88401,126,7314
4261,650235,30571,247,205
2640,662060,28045,,6988
10454,288775,2531,170,3577
4477,724282,43726,148,102
5184,360072,51961,338,9345
4648,178465,32789,581,2163
3144,642499,42943,266,3808
1784,174817,42987,293,8594
9814,981452,66971,195,8807
800,478352,33383,416,6140
1518,831695,49774,263,8574
6429,28894,70995,463,8962
3938,176721,22286,487,
3638,904612,59833,393,9392
6918,162087,74117,344,7931
9825,80424,98691,224,5669
7713,275350,4375,401,8142
1829,298238,81425,346,9551
6995,328215,32353,372,1373
2845,758757,9127,180,5349
317,308833,66224,303,9788
3302,794381,67811,282,9247
9645,789340,26481,205,3241
9251,863831,41118,795,5836
8146,794571,25445,431,7317
9722,71163,55352,253,6572
162,217940,63773,396,6156
151,363668,90245,83,9038
6170,835524,87935,333,689
2714,703673,3873,,1689
3327,178511,46851,106,4438
4147,914690,65985,141,3390
751,615783,82347,,6370
3993,352513,83071,559,
3664,586565,54088,91,3063
5438,806437,72429,,2282
6329,133375,58827,504,8539
4455,41422,81475,369,8202
9769,295985,29510,,9122
235,854369,77662,103,2574
4359,782814,12406,487,3393
2462,955895,45279,249,9909
7877,83080,48816,,8252
5305,762474,89170,195,3463
8824,734332,94831,605,
9453,527637,33742,940,2689
4289,552577,90631,193,9994
5434,136471,77448,319,8233
6665,303465,71940,231,13
743,76870,56790,253,1334
9554,45163,97058,548,
8925,781840,26566,216,4401
5061,878080,22171,307,
7953,721863,78043,257,9272
1146,698118,17046,85,623
6588,555470,7874,162,6671
9586,846386,82638,192,4074
6299,750740,42514,177,9901
10314,180761,2730,,6554
9648,370679,23428,,5831
9437,578708,74166,,744
9444,663527,95660,,1578
1027,578104,57759,326,9067
9560,838514,70285,584,7204
5237,123120,36351,194,6397
8133,143830,58108,,
4122,890578,68905,379,9529
266,195240,79070,,5578
10548,575315,12363,366,2820
2551,641325,94051,,8297
10363,619167,50856,348,7290
5060,85042,88925,116,6396
5183,428864,175,109,1837
2822,303196,39239,,8821
4305,331179,20056,183,4074
1786,160629,33982,173,2778
5685,593448,59728,240,8629
2057,549245,78808,735,6712
6128,840161,92987,,8108
7303,617059,11190,465,5218
4601,98290,38523,156,
8367,113817,79397,514,3571
1996,22460,1606,353,4152
4267,254997,45761,200,
3077,400878,49470,503,562
2376,850948,14888,,1446
9553,968567,22373,,3357
2570,908519,15947,206,645
4375,253070,70160,,977
6917,257272,36821,,8134
781,401473,82584,144,13
7811,786293,24426,403,7033
7529,814469,13335,,7926
8353,111202,84661,448,7912
10250,566929,45703,35,8226
2619,736949,31167,,575
8696,356178,3626,51,4907
9749,874499,77913,117,8516
693,537745,77611,398,6799
4621,839720,39310,106,6595
7253,608845,46640,159,3667
5869,662830,19070,209,815
1118,869494,,,1425
6369,976071,35239,441,1972
7701,632942,85001,240,7195
5223,243134,9300,,1790
6113,43284,88937,166,8133
9696,129867,51282,320,5318
10124,147009,57156,382,2254
9390,309,90246,5,3836
217,980251,16326,,481
2634,721153,14922,740,8580
3134,431106,7436,228,3427
8552,302724,82692,170,8244
1590,37144,12982,98,5765
704,420996,96572,307,1916
7863,741157,94247,479,6257
3982,477707,87275,177,7325
8614,814161,96076,77,1536
3140,368769,83588,508,2379
1423,877593,1161,,937
10518,821580,3909,126,5932
3828,89733,13620,282,4801
9231,974460,72011,9,7076
8088,510067,64170,639,9478
1722,795675,33626,354,4759
9307,166179,65337,193,2333
1479,629834,16608,,6530
992,568558,97245,764,183
8483,849369,48132,463,8378
1343,322940,26879,628,
10531,123579,51364,100,628
5330,606329,57159,,6970
187,575825,63984,329,6047
5209,487197,68425,412,7367
6975,773640,47423,162,8100
9618,948761,24692,338,6859
4883,389146,44830,204,8974
4750,57078,68307,140,9318
7589,883221,58763,396,3608
9640,154537,77341,13,5146
8059,299728,86940,,1096
8692,339863,18256,567,3302
5020,297883,48998,143,7645
1171,853196,99847,464,153
9614,87745,76693,457,1511
7147,161047,9567,280,
764,248889,6103,446,5052
10396,204364,61130,403,
1819,844752,8812,167,5073
569,435734,74382,3,7130
4770,737982,89108,152,5402
10442,833031,93908,235,7094
1920,985851,68987,493,4377
4431,958891,82896,470,9912
1675,404274,91447,261,8049
5057,626412,30041,254,2972
9738,286418,77226,222,2401
7410,892106,43909,185,5526
5551,900258,71321,298,7793
8648,698495,55740,750,1297
9968,525363,31118,116,7182
6818,94577,47392,434,4629
188,554241,42290,80,5460
5028,653221,20767,46,1858
3,641803,28413,351,5107
7103,136551,62709,424,3826
4561,401336,98066,59,7425
7938,47951,35485,50,3866
4145,966340,32178,205,1330
479,410437,82493,374,963
6132,55178,48278,126,4080
6865,725452,13758,73,1530
2532,968606,64753,390,4105
7986,329433,74935,94,3771
6622,486261,8319,52,7722
4246,971837,48240,185,4184
9785,322010,98457,85,7140
708,531924,6605,290,5260
5485,450270,51741,355,4561
9748,219844,92787,333,2827
4563,633892,43572,117,1372
6351,878475,43486,336,9925
944,466201,75347,362,7048
9652,923239,59581,313,6859
821,932215,92595,243,7814
6893,165900,51639,531,8637
7831,772470,53056,106,595
5114,454990,1282,30,7465
4630,896900,37347,304,517
3887,466336,43326,291,766
9253,700257,97319,306,3462
8577,486679,17934,480,8658
10130,158256,50016,,
500,696416,35449,427,8344
10391,621309,95682,448,412
2497,866265,24374,297,8602
9742,795791,89755,407,
7946,229282,24561,616,1168
6939,373241,76393,516,6609
7317,322800,89595,235,1447
2837,803715,8782,431,4803
6814,76245,48551,408,1078
5871,315999,34413,,7577
3870,934499,42704,102,8888
868,349584,47019,500,2629
1115,913770,35194,262,5437
6863,736492,34363,343,
449,57697,77022,72,1789
2768,784818,17976,24,4469
10300,195955,14616,42,3736
9765,442178,20548,82,6490
9569,435653,49903,92,2789
3855,830399,6113,105,765
6220,46664,,439,4326
5849,855978,22377,263,1313
1318,111280,62941,373,9800
972,667595,6355,244,393
109,372760,16119,188,3496
2691,709445,29569,610,1089
5772,228632,41095,415,6146
4397,858601,57879,283,7333
8902,608688,30640,457,8797
2052,468489,92755,69,
5760,783621,92035,485,8243
7169,65300,98495,423,1516
7966,904495,79957,285,8335
605,992897,67827,679,9167
6895,768141,65578,464,8967
819,572898,29956,138,6558
9302,365249,56997,,7866
9565,176994,11885,131,3716
1883,344520,30829,195,8547
3682,418871,10366,121,6555
5826,736553,59736,583,834
5190,118690,67141,,9215
2139,122715,64426,173,1831
6437,938197,54886,,
7588,616059,69393,358,1504
9443,541300,80083,267,4286
2646,286300,25082,406,6132
1604,206456,64993,37,6081
1424,870320,94224,44,3702
6745,654549,24917,573,3224
7314,936493,70830,299,1956
10056,317949,75813,101,9147
4484,349006,64475,233,5913
9835,333406,52489,29,6615
6787,372339,89927,121,7407
1297,750844,31340,76,4249
5821,35514,46959,90,2519
6752,997165,29543,384,9996
8524,415604,79508,256,7746
2732,104331,96088,206,5696
4088,644265,63870,230,1933
578,833464,24049,264,479
1723,385685,90544,195,9031
7047,619407,47239,303,4268
10133,939466,98866,321,6516
3256,902627,55138,69,7723
2786,558688,51810,161,5413
9930,421067,62865,156,93
4514,27514,69171,660,1758
1612,15865,26826,288,6320
1951,974646,44458,114,5651
9189,933918,77224,473,8413
5105,678113,26482,391,7219
5401,374906,60416,451,6991
2987,688377,83892,605,4681
1653,433801,96344,323,4280
10061,551417,70643,265,6780
6323,22957,37155,227,7260
6742,15195,92153,350,5241
5891,149631,75462,316,2586
462,73467,61811,453,4002
2102,273290,38729,34,9803
6074,165854,14789,428,1422
1530,408072,94579,104,6915
2588,350208,26353,362,3192
6982,891437,74683,,2830
7498,863094,7664,155,8006
10060,391973,77427,,2550
9093,887680,53082,177,9488
4797,842272,70274,579,2461
5134,442942,18491,236,1039
1535,733947,19734,,9360
5128,858675,81708,0,8790
4126,570835,93206,,1203
9102,895737,59086,515,8823
7132,667255,37625,168,3834
1222,570158,16740,51,9882
2005,134434,3352,385,9743
9514,999187,95597,274,9667
7940,523313,64902,321,1485
3081,361783,36532,229,9462
324,521759,85052,598,3375
5482,163562,89711,588,217
10241,969592,25332,324,1476
9364,895649,26038,,8518
7276,13726,36210,457,303
17,986079,23417,521,9308
7789,994647,39497,274,6631
8906,164727,72395,299,6666
10522,166478,80656,83,7430
1005,758571,41714,,3113
9397,409477,34238,487,3581
4050,839810,70837,91,553
419,614504,60430,70,4400
3897,778378,95280,348,7648
3761,808113,361,236,872
8332,444718,85330,39,8234
4197,989067,2481,233,9624
193,269651,40867,177,6335
8974,834104,71906,146,5587
9008,903184,5355,290,2141
1014,981946,59608,367,8908
126,253750,86109,605,3676
1857,640070,70906,300,400
1059,789785,73209,161,3655
7236,844083,56894,15,3220
10001,563200,10094,432,5226
3456,397485,6684,490,16
9613,106678,29052,,874
6972,80834,37206,,9992
5728,988474,52463,228,2889
7166,36136,58230,249,658
9965,771289,66679,533,7968
7264,970552,76290,207,6545
2211,495666,88561,92,7719
8421,115352,32622,461,9028
5177,407517,41144,64,6736
5185,335144,61694,116,9633
7433,707818,88841,624,3567
5682,237696,46937,309,3233
5082,953522,48753,548,1595
8594,971284,30912,191,2646
2086,210905,59639,238,76
4844,543443,9155,231,849
10152,498531,11855,189,1643
4494,855033,37737,139,162
7913,100589,82141,196,5521
2222,887919,23068,,3177
9275,70410,42128,32,518
5413,844139,36903,73,7262
7742,297094,90244,383,3086
8651,547723,31312,473,1351
3566,205790,51251,163,6286
9381,57725,1402,315,7970
6837,566704,18546,277,3924
2624,354297,53021,479,1512
9771,820344,81276,332,6665
6474,245052,64742,335,1927
1066,877417,6521,,7893
7217,521897,27372,383,6602
825,365437,99037,401,7888
9701,853140,87649,802,3587
5445,579982,96415,45,2081
2706,649772,43819,443,
2574,886410,10779,473,8163
4996,515280,10243,155,5823
3764,141583,35978,227,9655
7313,797997,34097,,6404
8956,405960,83190,441,2984
6551,168824,30293,418,7334
3168,778739,54099,,9660
3494,31617,34821,431,
9014,615922,99886,724,4619
6552,603059,71365,,412
5325,241302,51557,199,6207
131,611265,22019,315,5408
7038,845304,60497,188,7553
6728,263447,22393,425,
3073,397215,67895,136,9561
4047,487525,77543,379,4211
5484,433949,27261,224,9275
5083,924309,73888,151,4369
8039,609009,7268,69,6670
6936,769381,568,326,
10028,687352,73355,339,2527
4027,137995,16083,158,
4587,332427,72348,180,7667
9242,466228,39810,306,8329
9623,951259,36857,196,8403
6159,487248,20096,700,9932
6367,390373,86409,46,7358
497,308092,58970,568,4538
1532,101425,22739,241,5388
6090,286245,81194,546,5382
4696,584336,45194,223,
6210,835606,73124,361,8812
8283,159105,66074,64,1713
3821,867482,23294,150,4275
7271,374372,65400,226,5710
2519,243410,62562,300,9708
9917,948348,13841,,6645
7524,531220,71285,26,1843
9913,284534,53851,,1704
806,126716,6142,228,7297
6633,582830,79851,271,7561
5236,77213,63957,301,6191
8389,253799,39323,281,536
9487,476642,89168,545,5029
8326,993038,10204,398,1514
7381,588399,65618,143,1955
7216,717977,64654,169,2746
1994,25423,96150,178,782
9314,149280,38109,433,9365
5329,121761,94534,51,7050
4070,485164,46960,243,3235
612,307117,50768,288,8418
5089,636328,39788,183,2975
10270,769315,30593,229,1185
8752,919374,59270,233,1794
1162,376164,42680,77,4332
4052,938583,854,165,7129
7114,203060,,265,8827
10444,614255,87034,,5987
7146,337589,62154,145,2185
5538,759010,95246,198,
2004,834187,12836,47,3156
9804,292084,21282,191,680
911,8081,48770,210,5550
8376,855651,75673,122,4840
7090,336826,83706,143,8345
5146,10245,50912,207,934
10,24881,59275,558,5035
8505,552378,43850,164,7857
2893,151551,25060,509,1505
4434,542010,82790,132,7596
814,232853,31366,159,8981
9432,328412,32065,154,516
7677,149062,36771,27,5388
7095,408752,5339,300,108
6859,473291,44632,12,4887
2036,297435,49414,,6759
7305,225996,43923,107,7672
10453,103604,34384,242,4158
90,743278,89666,537,9688
5546,434660,93243,254,440
3559,867703,95066,160,8178
7425,451538,72921,235,9161
6880,782551,26269,3,9125
1241,500535,76115,269,9337
9998,876320,65512,459,5378
6830,697337,32683,434,
7000,214662,55190,9,837
8417,307454,37580,219,74
8422,798738,55799,,9979
10439,439229,74703,230,6801
4806,554021,63646,135,2324
7667,877940,7923,,2269
4398,139547,41193,11,7667
8032,485596,60406,283,9997
756,880455,,561,2160
7304,956449,9406,,3410
3386,972948,95434,,948
10501,386919,1939,,5483
4178,589545,68325,200,2293
1845,983993,63098,356,1596
3032,441213,71175,289,3111
8938,314234,72872,263,
6600,633250,96922,,6605
5612,294310,71112,124,610
2905,413467,70953,565,2459
2593,739127,55416,9,3818
3837,394717,53948,136,3107
10113,560039,50192,184,7151
3666,885426,25397,,163
2219,329085,40833,140,1682
3848,125687,75594,368,4247
9409,494312,99558,122,6042
5268,985751,54921,,5448
7823,639027,67900,308,4422
5596,11479,51198,626,91
4328,73577,19507,532,2705
9293,686844,96235,370,1705
5142,721771,2547,185,5696
7480,673920,20941,222,6451
837,222426,16009,333,
2087,505142,97085,410,1066
5547,738411,66490,220,4688
10410,637518,77717,,7937
2181,486480,61446,211,4847
5590,122521,90757,176,8069
5502,757848,23017,268,8842
3247,57307,65246,383,4200
7127,467547,30707,85,758
2844,648338,50332,,8438
9169,551482,57281,224,5089
3622,81190,15388,725,447
5850,865540,76562,,9074
3551,800802,58420,167,4982
8762,115289,21598,395,742
9428,708526,87517,511,
3736,91860,40225,382,2010
9535,475263,38746,169,3198
4306,207773,87681,44,8884
3974,620557,75410,241,1189
6246,376411,32283,524,9368
5602,446792,96611,223,6597
9303,481291,33430,403,2728
3202,780067,68186,320,776
3466,685114,45611,415,5356
1364,946147,56833,589,5889
7200,964439,9417,311,200
1019,602787,41480,538,3755
5336,904055,97476,259,4400
9764,298605,20053,,2921
2089,595597,6688,316,9436
2189,793710,24697,224,2691
2258,198377,25396,336,6416
7375,535151,9104,372,3285
524,171828,7421,14,8799
5147,198468,96153,399,8080
7014,854388,12335,77,1514
1783,684819,20887,238,4407
171,58949,64032,209,9692
736,256459,60471,503,3974
4283,126722,6529,,656
10304,699768,78334,281,4396
3691,91418,99351,256,6896
8709,317047,6476,367,4339
2627,112847,4939,92,7352
2237,493611,2082,156,7751
1064,663278,23645,135,2621
849,655018,59647,39,1803
1802,22632,66355,503,8071
7670,881528,21588,119,7150
10462,823527,67594,197,7933
9463,544225,70339,71,6955
10340,,83728,191,1112
1875,509718,30946,327,3958
62,581279,90277,382,2040
3957,118777,67122,779,6743
9525,255067,33355,155,8554
4268,957403,15689,39,4203
8949,190805,4164,456,1165
6989,226332,15961,,8003
7210,921238,18071,,8782
3215,930407,25348,140,2218
9474,496721,48388,257,7614
1753,695662,797,,553
4906,674483,79981,,1861
1235,505593,98514,177,9180
4360,544362,17981,365,
9977,201381,95919,270,9294
6167,844264,61173,186,9702
4076,394122,22194,419,8743
9019,514070,67818,187,9669
347,335991,81647,260,2431
2921,822402,33866,98,3228
3002,23050,6150,438,
7484,809125,67132,211,5390
3067,194218,85276,276,7122
2912,634972,39453,160,9102
6432,941280,2283,700,8508
5088,293142,32831,191,160
602,493728,88120,81,1131
8181,236717,19938,121,6370
8635,539800,98304,102,5952
3173,92760,71698,48,9340
4689,943729,21137,,7360
4327,331006,4578,357,2756
10179,930869,62924,156,2937
2084,781765,38525,237,4932
5671,586083,23359,101,7829
8497,157593,21656,412,7292
5673,689774,81247,47,5207
6319,365803,58649,229,2850
1155,40745,9114,515,251
486,590386,22573,271,9585
2735,555387,45554,363,5775
5812,920912,7090,191,9325
7222,184901,78003,445,5644
7223,181940,95994,,1481
3809,784788,20940,98,2003
2386,467644,49640,162,6663
7922,398603,40317,,9339
8397,177300,12258,545,1335
8525,973501,87195,252,9006
9232,851279,13461,195,5341
4370,291498,53918,76,1532
10247,233472,83402,,4003
7345,224504,85083,261,5612
2018,926845,6295,473,8531
6672,224081,62624,262,9698
3641,752174,41816,182,7675
1556,629585,98655,663,5140
322,29093,91667,319,153
5408,968301,34184,150,2149
10372,122603,20476,,2552
2797,57858,74818,63,1414
1224,575520,55531,172,6414
5439,381400,72801,328,1430
5623,737213,8115,68,4893
8473,617788,94054,670,8682
5606,636997,25544,,462
5753,976917,93237,,2896
2775,928079,93496,392,1132
10085,575582,43590,109,
6057,315581,86496,,2596
5544,612923,87929,,2845
144,92849,35576,174,7235
750,216547,51864,,9996
72,969860,50226,95,3989
7363,906780,49888,334,81
3946,352826,54581,130,9880
1006,837544,13441,,4364
3506,998674,99894,440,2264
8560,901320,31794,219,2459
9097,200224,60544,127,
9780,928873,73826,488,6816
639,979781,42795,614,7296
5899,69566,99648,399,8207
4207,675968,88871,19,4969
7590,272239,83891,224,9385
7587,347530,92985,169,6594
382,829332,30537,260,1573
6433,780819,33594,295,2295
5751,102774,646,112,8241
1471,696465,26617,,7963
10557,954243,21122,120,173
5313,411185,85328,509,4626
9927,953318,54873,144,1460
4842,357769,24699,101,1180
2877,795141,13481,175,6429
2241,253626,15030,543,7953
2186,91885,37989,63,6544
4759,,16294,,5099
