,t_id,pais,idioma
686,5128,Japan,English
687,4126,Bangladesh,English
688,9102,Ethiopia,English
689,7132,Italy,English
690,1222,Algeria,English
691,2005,South Africa,English
692,9514,India,English
693,7940,Myanmar,English
694,3081,Thailand,English
695,324,Indonesia,English
696,5482,Germany,English
697,10241,United Kingdom,English
698,9364,Argentina,English
699,7276,South Africa,English
700,17,South Africa,English
701,7789,Japan,English
702,8906,Kenya,English
703,10522,India,English
704,1005,Pakistan,English
705,9397,Germany,English
706,4050,Vietnam,English
707,419,Ukraine,English
708,3897,France,English
709,3761,Philippines,English
710,8332,Uganda,English
711,4197,Thailand,English
712,193,China,English
713,8974,DR Congo,English
714,9008,Ethiopia,English
715,1014,Iran,English
716,126,Tanzania,English
717,1857,Mexico,English
718,1059,South Korea,English
719,7236,Spain,English
720,10001,Egypt,English
721,3456,Ukraine,English
722,9613,United Kingdom,English
723,6972,Thailand,English
724,5728,Kenya,English
725,7166,Kenya,English
726,9965,Germany,English
727,7264,Thailand,English
728,2211,Ukraine,English
729,8421,Iran,English
730,5177,Myanmar,English
731,5185,Tanzania,English
732,7433,Ukraine,English
733,5682,Brazil,English
734,5082,Vietnam,English
735,8594,United Kingdom,English
736,2086,Thailand,English
737,4844,South Korea,English
738,10152,Brazil,English
739,4494,Italy,English
740,7913,Italy,English
741,2222,United States,English
742,9275,Tanzania,English
743,5413,Japan,English
744,7742,Indonesia,English
745,8651,Egypt,English
746,3566,Italy,English
747,9381,South Korea,English
748,6837,Germany,English
749,2624,Thailand,English
750,9771,China,English
751,6474,Turkey,English
752,1066,Sudan,English
753,7217,Argentina,English
754,825,United Kingdom,English
755,9701,Egypt,English
756,5445,Argentina,English
757,2706,Philippines,English
758,2574,China,English
759,4996,South Korea,English
760,3764,India,English
761,7313,Argentina,English
762,8956,Japan,English
763,6551,Kenya,English
764,3168,India,English
765,3494,Italy,English
766,9014,United Kingdom,English
767,6552,Indonesia,English
768,5325,South Korea,English
769,131,Kenya,English
770,7038,Turkey,English
771,6728,Philippines,English
772,3073,Colombia,English
773,4047,Sudan,English
774,5484,DR Congo,English
775,5083,Bangladesh,English
776,8039,Argentina,English
777,6936,China,English
778,10028,Brazil,English
779,4027,Uganda,English
780,4587,Germany,English
781,9242,Russia,English
782,9623,United States,English
783,6159,United States,English
784,6367,India,English
785,497,Myanmar,English
786,1532,United Kingdom,English
787,6090,France,English
788,4696,China,English
789,6210,United States,English
790,8283,United Kingdom,English
791,3821,Iran,English
792,7271,Vietnam,English
793,2519,South Africa,English
794,9917,Japan,English
795,7524,Egypt,English
796,9913,Indonesia,English
797,806,United States,English
798,6633,Ukraine,English
799,5236,Myanmar,English
800,8389,Russia,English
801,9487,France,English
802,8326,Myanmar,English
803,7381,Pakistan,English
804,7216,United Kingdom,English
805,1994,Indonesia,English
806,9314,Japan,English
807,5329,Germany,English
808,4070,France,English
809,612,Turkey,English
810,5089,Uganda,English
811,10270,Ethiopia,English
812,8752,Colombia,English
813,1162,Sudan,English
814,4052,China,English
815,7114,China,English
816,10444,Brazil,English
817,7146,Colombia,English
818,5538,Bangladesh,English
819,2004,United Kingdom,English
820,9804,Ethiopia,English
821,911,United Kingdom,English
822,8376,Russia,English
823,7090,Tanzania,English
824,5146,South Korea,English
825,10,Philippines,English
826,8505,Germany,English
827,2893,Ukraine,English
828,4434,Tanzania,English
829,814,Kenya,English
830,9432,Philippines,English
831,7677,Argentina,English
832,7095,Ethiopia,English
833,6859,Germany,English
834,2036,South Korea,English
835,7305,Russia,English
836,10453,Germany,English
837,90,China,English
838,5546,Myanmar,English
839,3559,Ukraine,English
840,7425,Turkey,English
841,6880,Thailand,English
842,1241,South Korea,English
843,9998,Myanmar,English
844,6830,Kenya,English
845,7000,Brazil,English
846,8417,Sudan,English
847,8422,Argentina,English
848,10439,Algeria,English
849,4806,Kenya,English
850,7667,Ukraine,English
851,4398,Sudan,English
852,8032,India,English
853,756,Indonesia,English
854,7304,Argentina,English
855,3386,Ethiopia,English
856,10501,Argentina,English
857,4178,Philippines,English
858,1845,DR Congo,English
859,3032,Argentina,English
860,8938,Brazil,English
861,6600,Indonesia,English
862,5612,Spain,English
863,2905,Kenya,English
864,2593,South Korea,English
865,3837,Japan,English
866,10113,Uganda,English
867,3666,DR Congo,English
868,2219,Mexico,English
869,3848,Myanmar,English
870,9409,Philippines,English
871,5268,Russia,English
872,7823,Kenya,English
873,5596,Tanzania,English
874,4328,Pakistan,English
875,9293,United Kingdom,English
876,5142,Vietnam,English
877,7480,Brazil,English
878,837,Iran,English
879,2087,Nigeria,English
880,5547,South Korea,English
881,10410,Ethiopia,English
882,2181,Mexico,English
883,5590,Italy,English
884,5502,Turkey,English
885,3247,Indonesia,English
886,7127,Brazil,English
887,2844,Uganda,English
888,9169,Spain,English
889,3622,DR Congo,English
890,5850,South Africa,English
891,3551,India,English
892,8762,Ukraine,English
893,9428,Argentina,English
894,3736,Pakistan,English
895,9535,Ethiopia,English
896,4306,Italy,English
897,3974,France,English
898,6246,Kenya,English
899,5602,Nigeria,English
900,9303,DR Congo,English
901,3202,South Africa,English
902,3466,Sudan,English
903,1364,Thailand,English
904,7200,Russia,English
905,1019,Ukraine,English
906,5336,Algeria,English
907,9764,Italy,English
908,2089,Algeria,English
909,2189,Tanzania,English
910,2258,Germany,English
911,7375,France,English
912,524,Uganda,English
913,5147,Egypt,English
914,7014,Mexico,English
915,1783,Spain,English
916,171,Myanmar,English
917,736,India,English
918,4283,Brazil,English
919,10304,Egypt,English
920,3691,Germany,English
921,8709,India,English
922,2627,Italy,English
923,2237,South Korea,English
924,1064,France,English
925,849,Algeria,English
926,1802,Bangladesh,English
927,7670,Argentina,English
928,10462,Bangladesh,English
929,9463,Algeria,English
930,10340,Spain,English
931,1875,South Korea,English
932,62,Myanmar,English
933,3957,Uganda,English
934,9525,United Kingdom,English
935,4268,Nigeria,English
936,8949,Pakistan,English
937,6989,India,English
938,7210,Italy,English
939,3215,Kenya,English
940,9474,United Kingdom,English
941,1753,Japan,English
942,4906,Kenya,English
943,1235,Pakistan,English
944,4360,Philippines,English
945,9977,Spain,English
946,6167,Colombia,English
947,4076,Spain,English
948,9019,India,English
949,347,Vietnam,English
950,2921,Iran,English
951,3002,Argentina,English
952,7484,Thailand,English
953,3067,Algeria,English
954,2912,Italy,English
955,6432,Egypt,English
956,5088,Germany,English
957,602,Myanmar,English
958,8181,France,English
959,8635,Algeria,English
960,3173,India,English
961,4689,Germany,English
962,4327,Myanmar,English
963,10179,Tanzania,English
964,2084,United States,English
965,5671,Egypt,English
966,8497,Uganda,English
967,5673,Nigeria,English
968,6319,Russia,English
969,1155,France,English
970,486,Spain,English
971,2735,Japan,English
972,5812,United States,English
973,7222,Ethiopia,English
974,7223,China,English
975,3809,China,English
976,2386,Japan,English
977,7922,Brazil,English
978,8397,United States,English
979,8525,Vietnam,English
980,9232,Pakistan,English
981,4370,Kenya,English
982,10247,DR Congo,English
983,7345,India,English
984,2018,Ukraine,English
985,6672,Spain,English
986,3641,Argentina,English
987,1556,Japan,English
988,322,Algeria,English
989,5408,Spain,English
990,10372,Iran,English
991,2797,United States,English
992,1224,Philippines,English
993,5439,India,English
994,5623,Colombia,English
995,8473,Argentina,English
996,5606,Vietnam,English
997,5753,Myanmar,English
998,2775,South Korea,English
999,10085,Nigeria,English
1000,6057,Pakistan,English
1001,5544,Myanmar,English
1002,144,Brazil,English
1003,750,United Kingdom,English
1004,72,Philippines,English
1005,7363,Thailand,English
1006,3946,Iran,English
1007,1006,Ukraine,English
1008,3506,Tanzania,English
1009,8560,Tanzania,English
1010,9097,Uganda,English
1011,9780,Bangladesh,English
1012,639,Tanzania,English
1013,5899,Vietnam,English
1014,4207,China,English
1015,7590,Argentina,English
1016,7587,Myanmar,English
1017,382,Bangladesh,English
1018,6433,Nigeria,English
1019,5751,Mexico,English
1020,1471,Egypt,English
1021,10557,Uganda,English
1022,5313,Algeria,English
1023,9927,China,English
1024,4842,Colombia,English
1025,2877,South Korea,English
1026,2241,Egypt,English
1027,2186,Italy,English
1028,4759,Indonesia,English
1029,402,Italy,English
1030,2421,Myanmar,English
1031,10441,Myanmar,English
1032,7732,Myanmar,English
1033,1791,Sudan,English
1034,2863,United States,English
1035,9848,Thailand,English
1036,8082,Vietnam,English
1037,10457,Brazil,English
1038,1983,India,English
1039,4429,Spain,English
1040,6970,South Africa,English
1041,5939,Indonesia,English
1042,10016,Kenya,English
1043,9203,Egypt,English
1044,1020,Tanzania,English
1045,4030,India,English
1046,1760,Uganda,English
1047,5585,Indonesia,English
1048,5701,Italy,English
1049,3777,India,English
1050,10394,Nigeria,English
1051,7635,India,English
1052,1742,Egypt,English
1053,7258,Egypt,English
1054,244,Italy,English
1055,2806,Russia,English
1056,1734,India,English
1057,4629,Kenya,English
1058,6722,India,English
1059,8590,United Kingdom,English
1060,9375,Nigeria,English
1061,1190,Brazil,English
1062,10420,Indonesia,English
1063,5176,Philippines,English
1064,1039,Bangladesh,English
1065,4786,Argentina,English
1066,3859,China,English
1067,6223,Argentina,English
1068,4459,Kenya,English
1069,3727,Nigeria,English
1070,1630,Tanzania,English
1071,3750,Mexico,English
1072,3829,South Korea,English
1073,7560,Bangladesh,English
1074,3127,Brazil,English
1075,1902,Bangladesh,English
1076,908,Colombia,English
1077,7426,Egypt,English
1078,5674,Ethiopia,English
1079,8699,Ukraine,English
1080,68,Myanmar,English
1081,8773,Kenya,English
1082,8933,Bangladesh,English
1083,1280,Italy,English
1084,6017,Brazil,English
1085,3303,Philippines,English
1086,10534,Tanzania,English
1087,6754,Germany,English
1088,3788,Sudan,English
1089,1980,Bangladesh,English
1090,7438,Egypt,English
1091,2291,India,English
1092,2995,Indonesia,English
1093,9723,United States,English
1094,7180,Brazil,English
1095,8801,India,English
1096,2162,Ethiopia,English
1097,4709,Ukraine,English
1098,8640,Spain,English
1099,1386,Germany,English
1100,10042,Uganda,English
1101,5569,Tanzania,English
1102,3856,Brazil,English
1103,1785,South Korea,English
1104,8396,United Kingdom,English
1105,5113,Russia,English
1106,5903,Bangladesh,English
1107,2526,Egypt,English
1108,2445,United Kingdom,English
1109,1326,DR Congo,English
1110,8265,DR Congo,English
1111,4523,Brazil,English
1112,8527,Pakistan,English
1113,9205,Egypt,English
1114,5513,Vietnam,English
1115,9964,Nigeria,English
1116,2434,India,English
1117,6616,Egypt,English
1118,1126,Ethiopia,English
1119,5793,Germany,English
1120,7209,India,English
1121,7015,Sudan,English
1122,4718,Uganda,English
1123,8715,Indonesia,English
1124,9089,Germany,English
1125,4804,South Korea,English
1126,10101,Tanzania,English
1127,2938,United Kingdom,English
1128,5165,Pakistan,English
1129,6905,DR Congo,English
1130,8024,Bangladesh,English
1131,4542,South Africa,English
1132,4373,Algeria,English
1133,1204,Sudan,English
1134,4676,Nigeria,English
1135,1247,Nigeria,English
1136,3991,Kenya,English
1137,7526,China,English
1138,9615,Indonesia,English
1139,4922,Germany,English
1140,6609,Turkey,English
1141,10509,Brazil,English
1142,2527,South Africa,English
1143,4830,United Kingdom,English
1144,6886,South Korea,English
1145,957,South Africa,English
1146,6541,Russia,English
1147,1079,Philippines,English
1148,7221,United States,English
1149,3529,Japan,English
1150,8507,Egypt,English
1151,9824,China,English
1152,3209,India,English
1153,3124,Sudan,English
1154,4016,Ukraine,English
1155,6632,Thailand,English
1156,7794,France,English
1157,10538,United Kingdom,English
1158,9280,United States,English
1159,2946,Germany,English
1160,8336,China,English
1161,8883,Japan,English
1162,3869,Sudan,English
1163,6887,Germany,English
1164,2611,Thailand,English
1165,9119,Ukraine,English
1166,3904,Philippines,English
1167,292,Tanzania,English
1168,7325,Turkey,English
1169,2216,Kenya,English
1170,10529,South Korea,English
