id_compartir,compartir_tiempo,fecha_compartir,hora_compartir
122,909,2022-10-10,02:00:00
125,810,2022-10-19,20:00:00
126,322,2022-10-14,19:00:00
127,819,2022-11-09,03:00:00
128,654,2022-10-06,14:00:00
130,852,2022-11-04,06:00:00
131,361,2022-09-19,23:00:00
132,152,2022-09-22,19:00:00
133,836,2022-10-31,22:00:00
134,831,2022-11-01,06:00:00
136,694,2022-10-17,13:00:00
139,598,2022-09-26,07:00:00
140,325,2022-09-24,18:00:00
141,359,2022-09-21,14:00:00
142,632,2022-10-17,18:00:00
143,635,2022-10-27,12:00:00
144,144,2022-09-18,09:00:00
149,742,2022-10-25,13:00:00
151,59,2022-09-15,08:00:00
152,69,2022-10-08,23:00:00
153,713,2022-10-19,07:00:00
154,864,2022-10-08,10:00:00
156,601,2022-10-13,04:00:00
159,311,2022-09-30,05:00:00
160,221,2022-09-28,22:00:00
161,926,2022-11-01,19:00:00
162,17,2022-09-15,12:00:00
167,431,2022-10-15,09:00:00
169,275,2022-09-15,12:00:00
170,897,2022-11-06,13:00:00
171,908,2022-11-17,09:00:00
172,828,2022-11-01,08:00:00
175,43,2022-09-11,20:00:00
176,253,2022-09-17,13:00:00
178,908,2022-11-01,19:00:00
183,630,2022-10-20,00:00:00
184,279,2022-09-20,21:00:00
186,387,2022-09-22,21:00:00
187,857,2022-11-12,10:00:00
188,186,2022-09-24,10:00:00
189,677,2022-11-06,12:00:00
190,800,2022-10-31,08:00:00
192,888,2022-10-15,05:00:00
193,217,2022-10-06,14:00:00
195,316,2022-10-12,09:00:00
196,881,2022-11-15,21:00:00
197,156,2022-10-12,10:00:00
198,604,2022-10-10,02:00:00
201,887,2022-10-24,11:00:00
202,905,2022-11-11,22:00:00
205,635,2022-11-06,09:00:00
206,960,2022-10-24,10:00:00
210,99,2022-09-06,23:00:00
216,562,2022-10-14,14:00:00
217,117,2022-10-02,03:00:00
218,198,2022-10-02,01:00:00
219,636,2022-10-26,03:00:00
220,51,2022-09-04,14:00:00
221,313,2022-10-18,19:00:00
222,911,2022-11-05,11:00:00
223,183,2022-10-14,16:00:00
224,44,2022-09-17,23:00:00
227,304,2022-09-20,01:00:00
231,599,2022-10-19,01:00:00
233,34,2022-09-20,19:00:00
234,133,2022-09-23,01:00:00
235,309,2022-10-15,18:00:00
236,536,2022-10-10,04:00:00
237,781,2022-10-04,19:00:00
238,891,2022-11-01,21:00:00
239,691,2022-11-07,03:00:00
240,833,2022-11-12,13:00:00
242,789,2022-10-25,08:00:00
243,765,2022-10-28,14:00:00
244,38,2022-09-22,04:00:00
248,9,2022-09-19,06:00:00
254,625,2022-10-28,05:00:00
257,285,2022-09-28,14:00:00
258,852,2022-10-22,18:00:00
260,141,2022-10-04,07:00:00
261,267,2022-10-11,22:00:00
262,579,2022-10-13,17:00:00
263,791,2022-10-15,13:00:00
266,660,2022-10-22,05:00:00
269,951,2022-10-17,20:00:00
270,190,2022-10-13,17:00:00
272,590,2022-10-13,12:00:00
273,724,2022-10-23,04:00:00
274,133,2022-09-21,17:00:00
276,180,2022-10-01,19:00:00
277,449,2022-10-23,12:00:00
278,281,2022-10-13,08:00:00
279,520,2022-09-24,20:00:00
281,21,2022-09-17,14:00:00
282,535,2022-10-14,13:00:00
285,755,2022-10-22,12:00:00
287,233,2022-09-14,22:00:00
288,817,2022-10-21,21:00:00
289,502,2022-10-07,08:00:00
291,325,2022-09-25,08:00:00
292,831,2022-10-12,03:00:00
293,462,2022-10-23,09:00:00
294,604,2022-10-12,01:00:00
295,216,2022-09-27,20:00:00
296,110,2022-09-10,07:00:00
298,378,2022-10-24,14:00:00
299,664,2022-10-16,07:00:00
301,169,2022-10-17,14:00:00
305,537,2022-10-02,09:00:00
306,896,2022-11-16,15:00:00
307,666,2022-10-03,13:00:00
311,538,2022-10-08,15:00:00
314,304,2022-10-05,15:00:00
317,897,2022-10-16,04:00:00
319,880,2022-11-05,14:00:00
320,281,2022-09-28,22:00:00
321,858,2022-10-31,00:00:00
322,127,2022-09-09,02:00:00
323,688,2022-10-18,18:00:00
324,102,2022-10-03,02:00:00
325,583,2022-11-03,02:00:00
328,449,2022-10-08,00:00:00
333,768,2022-10-18,15:00:00
334,664,2022-10-23,04:00:00
338,85,2022-10-06,01:00:00
339,688,2022-10-18,17:00:00
340,809,2022-11-10,20:00:00
341,911,2022-11-01,18:00:00
342,112,2022-10-14,00:00:00
343,395,2022-09-24,16:00:00
345,242,2022-10-02,21:00:00
347,10,2022-09-18,05:00:00
348,231,2022-09-30,20:00:00
349,6,2022-09-29,09:00:00
351,896,2022-11-07,02:00:00
352,424,2022-09-29,21:00:00
354,249,2022-10-15,10:00:00
355,346,2022-10-20,09:00:00
356,878,2022-11-12,09:00:00
358,501,2022-10-27,03:00:00
359,592,2022-09-30,06:00:00
361,440,2022-10-22,00:00:00
362,397,2022-10-12,06:00:00
363,651,2022-11-02,00:00:00
365,897,2022-10-18,22:00:00
367,290,2022-09-14,14:00:00
368,957,2022-11-09,22:00:00
370,511,2022-10-21,01:00:00
372,458,2022-09-30,09:00:00
373,461,2022-09-30,19:00:00
374,753,2022-10-23,08:00:00
375,351,2022-10-12,09:00:00
376,813,2022-10-13,20:00:00
379,6,2022-09-21,11:00:00
380,531,2022-10-19,04:00:00
381,108,2022-09-14,15:00:00
382,818,2022-10-28,15:00:00
384,590,2022-10-27,03:00:00
385,350,2022-10-06,09:00:00
388,739,2022-10-12,04:00:00
391,250,2022-10-05,01:00:00
392,905,2022-11-05,17:00:00
394,369,2022-09-21,09:00:00
395,402,2022-10-19,14:00:00
397,140,2022-09-29,22:00:00
398,610,2022-10-12,00:00:00
401,595,2022-09-27,20:00:00
402,92,2022-09-09,23:00:00
403,100,2022-10-03,15:00:00
405,46,2022-10-02,18:00:00
407,796,2022-10-11,20:00:00
410,232,2022-10-20,19:00:00
411,393,2022-10-07,14:00:00
412,323,2022-09-22,15:00:00
413,252,2022-10-09,22:00:00
414,62,2022-09-20,05:00:00
416,81,2022-09-09,18:00:00
419,882,2022-10-12,00:00:00
420,838,2022-10-21,09:00:00
421,469,2022-10-26,05:00:00
422,796,2022-10-15,10:00:00
428,389,2022-10-24,00:00:00
430,819,2022-11-12,12:00:00
431,216,2022-10-19,21:00:00
432,38,2022-10-11,01:00:00
433,865,2022-11-16,00:00:00
434,30,2022-09-14,10:00:00
435,569,2022-10-21,05:00:00
436,901,2022-11-08,11:00:00
440,341,2022-10-02,20:00:00
441,693,2022-10-05,22:00:00
442,860,2022-10-30,18:00:00
443,749,2022-10-16,21:00:00
444,733,2022-11-04,13:00:00
449,501,2022-09-26,07:00:00
453,119,2022-09-24,23:00:00
455,497,2022-10-01,19:00:00
457,550,2022-11-01,01:00:00
459,111,2022-09-20,11:00:00
461,383,2022-10-13,22:00:00
462,926,2022-11-15,20:00:00
465,955,2022-11-11,04:00:00
466,323,2022-09-25,09:00:00
468,954,2022-10-16,12:00:00
469,89,2022-09-19,00:00:00
470,772,2022-10-30,11:00:00
473,101,2022-10-14,22:00:00
474,948,2022-10-14,23:00:00
477,110,2022-09-18,00:00:00
479,911,2022-11-13,09:00:00
480,95,2022-10-12,13:00:00
481,925,2022-10-30,11:00:00
483,715,2022-10-01,05:00:00
486,643,2022-11-01,02:00:00
487,722,2022-10-25,06:00:00
491,831,2022-10-16,07:00:00
492,627,2022-10-20,11:00:00
493,43,2022-09-25,20:00:00
496,742,2022-10-08,11:00:00
497,45,2022-10-06,23:00:00
498,917,2022-11-16,23:00:00
500,726,2022-11-07,08:00:00
503,172,2022-10-06,13:00:00
504,192,2022-10-10,22:00:00
505,338,2022-10-15,18:00:00
506,717,2022-10-20,10:00:00
507,399,2022-10-05,11:00:00
510,572,2022-09-26,21:00:00
512,431,2022-10-13,01:00:00
513,570,2022-11-03,13:00:00
515,44,2022-09-03,18:00:00
517,944,2022-11-03,19:00:00
518,480,2022-09-26,04:00:00
522,831,2022-10-23,21:00:00
523,780,2022-10-04,22:00:00
524,860,2022-10-15,22:00:00
525,172,2022-09-08,19:00:00
526,519,2022-09-23,21:00:00
527,576,2022-10-07,20:00:00
529,575,2022-11-04,02:00:00
530,798,2022-10-16,00:00:00
531,280,2022-09-19,05:00:00
532,401,2022-10-07,20:00:00
534,241,2022-10-01,04:00:00
537,777,2022-11-11,15:00:00
540,497,2022-09-25,21:00:00
542,297,2022-10-02,23:00:00
548,484,2022-10-24,16:00:00
549,195,2022-09-16,09:00:00
551,937,2022-11-16,10:00:00
552,279,2022-09-22,15:00:00
555,655,2022-10-24,21:00:00
556,419,2022-10-23,16:00:00
557,246,2022-10-01,08:00:00
559,859,2022-10-08,04:00:00
560,441,2022-10-02,07:00:00
565,730,2022-11-08,07:00:00
566,663,2022-10-18,02:00:00
569,856,2022-10-15,21:00:00
571,647,2022-10-20,03:00:00
572,346,2022-10-06,01:00:00
573,232,2022-09-11,06:00:00
574,132,2022-09-21,19:00:00
575,786,2022-10-26,18:00:00
576,742,2022-11-05,09:00:00
578,677,2022-10-13,21:00:00
579,907,2022-10-31,05:00:00
581,576,2022-10-04,07:00:00
587,527,2022-10-26,18:00:00
588,733,2022-10-23,03:00:00
590,864,2022-10-13,08:00:00
592,312,2022-10-14,20:00:00
593,593,2022-10-04,16:00:00
594,544,2022-11-02,00:00:00
595,519,2022-10-16,23:00:00
596,870,2022-11-16,10:00:00
597,666,2022-10-10,08:00:00
598,908,2022-11-02,20:00:00
599,151,2022-10-01,20:00:00
600,867,2022-10-24,22:00:00
602,925,2022-11-09,09:00:00
603,750,2022-10-06,06:00:00
604,188,2022-09-25,07:00:00
605,158,2022-09-19,07:00:00
606,792,2022-10-15,17:00:00
609,599,2022-10-06,22:00:00
611,900,2022-11-14,09:00:00
612,641,2022-10-06,05:00:00
613,383,2022-10-24,00:00:00
614,786,2022-10-17,20:00:00
615,685,2022-10-22,11:00:00
616,662,2022-10-29,12:00:00
617,797,2022-10-12,06:00:00
618,640,2022-10-24,14:00:00
619,682,2022-10-19,05:00:00
620,466,2022-09-25,21:00:00
622,940,2022-11-18,09:00:00
623,789,2022-11-02,21:00:00
624,162,2022-09-22,21:00:00
626,104,2022-10-04,20:00:00
627,617,2022-10-22,15:00:00
628,916,2022-10-10,08:00:00
629,701,2022-11-05,23:00:00
630,527,2022-10-07,17:00:00
631,494,2022-10-20,05:00:00
633,492,2022-10-21,20:00:00
635,901,2022-11-14,09:00:00
636,918,2022-10-23,16:00:00
637,246,2022-10-19,02:00:00
639,153,2022-10-15,14:00:00
640,334,2022-10-15,03:00:00
642,865,2022-10-16,18:00:00
643,739,2022-10-03,02:00:00
644,611,2022-11-03,08:00:00
646,142,2022-09-27,01:00:00
647,855,2022-11-08,11:00:00
649,341,2022-09-30,21:00:00
651,48,2022-09-12,14:00:00
654,488,2022-10-25,10:00:00
655,448,2022-09-27,15:00:00
657,111,2022-09-24,23:00:00
658,938,2022-11-11,00:00:00
659,649,2022-10-31,14:00:00
660,855,2022-10-25,04:00:00
662,243,2022-09-23,06:00:00
665,485,2022-09-21,19:00:00
666,329,2022-10-14,06:00:00
667,957,2022-11-03,12:00:00
668,296,2022-09-18,12:00:00
669,857,2022-10-22,13:00:00
671,139,2022-10-07,15:00:00
673,165,2022-10-12,03:00:00
675,428,2022-10-07,02:00:00
677,362,2022-10-17,05:00:00
679,64,2022-09-27,10:00:00
680,449,2022-10-10,17:00:00
683,512,2022-10-28,01:00:00
684,56,2022-10-11,11:00:00
685,90,2022-09-22,14:00:00
686,572,2022-09-27,16:00:00
688,545,2022-09-27,00:00:00
689,391,2022-10-16,10:00:00
690,945,2022-11-18,11:00:00
691,583,2022-10-23,15:00:00
692,47,2022-10-09,17:00:00
693,288,2022-09-28,20:00:00
694,235,2022-10-20,16:00:00
695,362,2022-10-16,19:00:00
698,554,2022-11-02,10:00:00
699,903,2022-11-02,11:00:00
700,438,2022-09-30,13:00:00
701,364,2022-09-26,17:00:00
702,71,2022-10-06,20:00:00
703,722,2022-10-26,21:00:00
704,86,2022-09-15,16:00:00
705,297,2022-09-22,11:00:00
706,757,2022-11-07,03:00:00
707,589,2022-11-02,20:00:00
708,54,2022-09-15,05:00:00
709,418,2022-10-25,09:00:00
710,721,2022-10-17,23:00:00
716,760,2022-10-06,15:00:00
717,926,2022-10-11,04:00:00
718,535,2022-10-29,20:00:00
719,68,2022-09-10,19:00:00
720,735,2022-11-06,16:00:00
721,204,2022-10-10,08:00:00
724,945,2022-11-02,02:00:00
726,2,2022-09-08,21:00:00
728,366,2022-10-19,16:00:00
729,24,2022-09-18,08:00:00
731,154,2022-10-10,10:00:00
732,835,2022-11-09,19:00:00
734,91,2022-09-21,14:00:00
735,63,2022-09-12,14:00:00
736,589,2022-09-27,00:00:00
737,92,2022-09-10,05:00:00
739,197,2022-10-08,22:00:00
743,472,2022-10-10,21:00:00
744,312,2022-10-07,06:00:00
745,719,2022-10-22,03:00:00
749,579,2022-09-30,14:00:00
750,651,2022-11-04,16:00:00
751,635,2022-09-30,09:00:00
754,351,2022-10-16,11:00:00
755,106,2022-10-09,17:00:00
756,849,2022-11-03,06:00:00
758,235,2022-09-11,14:00:00
761,653,2022-10-28,20:00:00
763,864,2022-11-04,23:00:00
764,373,2022-10-05,20:00:00
765,12,2022-09-06,06:00:00
767,234,2022-09-29,02:00:00
771,594,2022-10-24,19:00:00
772,508,2022-10-18,09:00:00
773,329,2022-09-24,10:00:00
774,607,2022-11-04,03:00:00
775,408,2022-10-08,03:00:00
777,685,2022-10-29,11:00:00
778,342,2022-10-11,21:00:00
779,142,2022-10-15,11:00:00
781,15,2022-09-12,19:00:00
782,376,2022-09-29,13:00:00
783,675,2022-10-08,14:00:00
784,863,2022-11-08,17:00:00
785,792,2022-11-05,09:00:00
786,674,2022-10-24,06:00:00
788,132,2022-09-16,13:00:00
789,227,2022-10-04,20:00:00
793,254,2022-10-07,08:00:00
796,466,2022-10-14,13:00:00
799,419,2022-10-18,15:00:00
800,886,2022-11-01,14:00:00
802,658,2022-10-08,21:00:00
803,125,2022-09-17,08:00:00
806,253,2022-10-14,21:00:00
807,543,2022-09-24,19:00:00
808,880,2022-10-08,11:00:00
813,134,2022-09-18,04:00:00
814,271,2022-09-22,15:00:00
815,481,2022-09-28,04:00:00
816,228,2022-09-20,03:00:00
817,237,2022-09-23,11:00:00
819,460,2022-09-22,15:00:00
821,596,2022-10-23,01:00:00
823,276,2022-09-23,02:00:00
824,409,2022-10-21,20:00:00
825,890,2022-10-19,20:00:00
826,807,2022-11-13,19:00:00
827,481,2022-10-06,11:00:00
828,329,2022-10-17,19:00:00
832,211,2022-10-16,03:00:00
835,658,2022-10-22,05:00:00
836,799,2022-10-19,12:00:00
837,759,2022-10-15,09:00:00
839,759,2022-10-14,23:00:00
840,434,2022-10-04,21:00:00
842,259,2022-10-02,23:00:00
843,435,2022-09-30,02:00:00
844,574,2022-10-15,13:00:00
845,727,2022-10-23,08:00:00
848,112,2022-09-30,23:00:00
849,710,2022-11-07,14:00:00
850,143,2022-10-01,12:00:00
851,793,2022-10-30,04:00:00
854,881,2022-10-18,18:00:00
855,747,2022-10-09,12:00:00
856,480,2022-09-27,15:00:00
857,600,2022-11-01,19:00:00
858,614,2022-10-09,23:00:00
859,250,2022-09-27,21:00:00
861,553,2022-10-13,10:00:00
862,791,2022-10-23,16:00:00
864,935,2022-10-20,08:00:00
866,837,2022-10-24,22:00:00
868,51,2022-09-20,23:00:00
869,756,2022-11-09,18:00:00
870,904,2022-10-26,13:00:00
872,730,2022-11-01,15:00:00
873,637,2022-09-28,17:00:00
875,180,2022-09-15,18:00:00
877,167,2022-09-14,04:00:00
878,60,2022-09-04,17:00:00
879,658,2022-11-05,01:00:00
881,914,2022-11-12,08:00:00
882,193,2022-09-17,20:00:00
883,225,2022-10-15,07:00:00
884,492,2022-09-25,02:00:00
886,764,2022-10-29,08:00:00
887,273,2022-09-25,10:00:00
888,204,2022-10-10,06:00:00
890,207,2022-09-24,00:00:00
895,549,2022-09-25,13:00:00
897,915,2022-11-09,15:00:00
899,189,2022-09-26,22:00:00
900,604,2022-09-30,05:00:00
904,501,2022-09-23,19:00:00
906,505,2022-09-30,20:00:00
908,618,2022-10-19,13:00:00
909,290,2022-09-22,18:00:00
910,71,2022-09-28,13:00:00
911,60,2022-10-05,09:00:00
912,769,2022-11-06,18:00:00
913,783,2022-10-26,17:00:00
916,540,2022-09-27,16:00:00
917,449,2022-10-22,17:00:00
918,763,2022-10-25,01:00:00
919,26,2022-09-12,05:00:00
920,944,2022-11-16,04:00:00
921,67,2022-10-09,03:00:00
922,857,2022-10-18,13:00:00
926,457,2022-10-26,19:00:00
928,210,2022-10-12,04:00:00
929,643,2022-10-20,13:00:00
930,816,2022-11-13,21:00:00
931,635,2022-11-02,18:00:00
932,763,2022-10-11,03:00:00
935,394,2022-10-08,04:00:00
939,188,2022-09-22,11:00:00
944,436,2022-09-29,03:00:00
945,403,2022-09-29,18:00:00
946,294,2022-09-24,15:00:00
947,389,2022-10-17,09:00:00
948,158,2022-10-16,05:00:00
949,829,2022-11-09,11:00:00
950,285,2022-09-26,22:00:00
951,28,2022-10-01,23:00:00
955,721,2022-11-02,04:00:00
957,127,2022-10-15,06:00:00
960,288,2022-09-20,02:00:00
961,378,2022-09-17,18:00:00
962,424,2022-10-26,06:00:00
964,585,2022-11-03,03:00:00
967,100,2022-10-15,07:00:00
968,850,2022-11-02,04:00:00
971,579,2022-10-21,04:00:00
972,194,2022-10-14,20:00:00
973,266,2022-09-28,13:00:00
976,271,2022-09-23,19:00:00
977,708,2022-10-17,20:00:00
978,840,2022-11-10,05:00:00
981,702,2022-09-30,18:00:00
984,792,2022-10-29,16:00:00
985,915,2022-11-17,11:00:00
987,761,2022-10-24,19:00:00
988,819,2022-10-25,11:00:00
989,735,2022-10-19,07:00:00
990,256,2022-09-17,20:00:00
991,253,2022-10-17,02:00:00
992,78,2022-09-22,02:00:00
994,67,2022-09-14,18:00:00
998,112,2022-09-26,04:00:00
999,151,2022-10-15,23:00:00
1001,886,2022-10-20,10:00:00
1003,958,2022-10-20,16:00:00
1005,588,2022-10-23,16:00:00
1006,922,2022-10-30,00:00:00
1009,451,2022-10-22,08:00:00
1010,695,2022-10-12,23:00:00
1012,619,2022-10-23,13:00:00
1014,936,2022-11-02,11:00:00
1016,672,2022-10-11,16:00:00
1019,889,2022-10-08,11:00:00
1020,901,2022-11-09,08:00:00
1021,70,2022-10-02,15:00:00
1023,882,2022-11-10,20:00:00
1026,38,2022-09-06,20:00:00
1027,190,2022-10-04,04:00:00
1028,745,2022-11-05,21:00:00
1029,483,2022-09-25,12:00:00
1031,442,2022-10-07,14:00:00
1032,456,2022-10-26,22:00:00
1033,853,2022-11-12,20:00:00
1035,680,2022-10-22,08:00:00
1037,645,2022-11-02,09:00:00
1039,563,2022-10-13,14:00:00
1040,953,2022-10-30,10:00:00
1041,686,2022-10-03,03:00:00
1042,481,2022-10-08,20:00:00
1043,908,2022-10-14,13:00:00
1045,675,2022-10-16,23:00:00
1047,547,2022-10-19,10:00:00
1050,837,2022-10-17,07:00:00
1051,722,2022-10-24,22:00:00
1053,101,2022-09-11,09:00:00
1054,219,2022-10-19,14:00:00
1057,943,2022-10-21,20:00:00
1059,377,2022-10-14,21:00:00
1060,525,2022-10-09,17:00:00
1061,959,2022-10-31,13:00:00
1064,441,2022-09-25,02:00:00
1066,319,2022-10-03,17:00:00
1068,649,2022-10-14,18:00:00
1069,263,2022-10-01,01:00:00
1070,473,2022-10-19,11:00:00
1071,369,2022-09-28,09:00:00
1073,478,2022-09-23,09:00:00
1074,349,2022-09-24,22:00:00
1075,644,2022-11-05,14:00:00
1076,241,2022-09-24,13:00:00
1078,733,2022-10-23,20:00:00
1079,860,2022-10-13,07:00:00
1082,390,2022-10-22,20:00:00
1084,453,2022-10-11,12:00:00
1086,816,2022-10-10,06:00:00
1087,585,2022-10-06,09:00:00
1088,179,2022-09-19,03:00:00
1090,831,2022-10-20,15:00:00
1091,23,2022-09-03,20:00:00
1094,586,2022-10-07,17:00:00
1095,87,2022-09-26,21:00:00
1099,635,2022-10-10,00:00:00
1102,159,2022-10-17,13:00:00
1103,98,2022-09-30,15:00:00
1104,557,2022-10-21,17:00:00
1107,934,2022-11-04,14:00:00
1108,482,2022-10-28,18:00:00
1109,175,2022-09-12,08:00:00
1110,334,2022-09-18,18:00:00
1114,100,2022-10-15,04:00:00
1115,956,2022-10-31,19:00:00
1116,892,2022-10-23,04:00:00
1118,646,2022-10-07,08:00:00
1119,229,2022-10-06,21:00:00
1122,211,2022-09-21,15:00:00
1123,395,2022-10-13,18:00:00
1125,12,2022-09-01,21:00:00
1126,31,2022-09-29,04:00:00
1128,388,2022-10-12,06:00:00
1130,153,2022-09-24,12:00:00
1133,19,2022-09-15,19:00:00
1134,697,2022-11-05,03:00:00
1136,363,2022-10-11,20:00:00
1140,116,2022-09-18,09:00:00
1142,847,2022-10-09,12:00:00
1144,675,2022-10-14,11:00:00
1145,565,2022-11-02,17:00:00
1146,12,2022-10-03,23:00:00
1148,955,2022-11-14,06:00:00
1149,863,2022-11-01,03:00:00
1150,679,2022-10-01,12:00:00
1151,714,2022-10-14,08:00:00
1153,289,2022-10-15,03:00:00
1155,699,2022-10-25,07:00:00
1156,632,2022-10-21,14:00:00
1157,840,2022-10-27,22:00:00
1160,210,2022-09-25,04:00:00
1161,723,2022-10-09,22:00:00
1162,436,2022-10-26,17:00:00
1163,879,2022-10-13,10:00:00
1164,324,2022-10-10,16:00:00
1167,45,2022-09-24,07:00:00
1168,23,2022-09-24,11:00:00
1170,322,2022-10-23,23:00:00
1171,220,2022-10-01,16:00:00
1172,84,2022-09-22,06:00:00
1176,395,2022-09-30,13:00:00
1178,573,2022-11-02,21:00:00
1179,10,2022-09-09,19:00:00
1181,432,2022-10-17,02:00:00
1183,378,2022-09-30,18:00:00
1184,302,2022-09-22,01:00:00
1190,725,2022-10-21,16:00:00
1191,731,2022-10-03,03:00:00
1193,908,2022-11-14,07:00:00
1195,422,2022-10-12,05:00:00
1198,460,2022-10-14,06:00:00
1201,904,2022-11-13,07:00:00
1202,545,2022-09-28,20:00:00
1204,558,2022-10-28,09:00:00
1207,689,2022-10-07,21:00:00
1209,791,2022-10-14,15:00:00
1213,484,2022-10-04,18:00:00
1214,93,2022-10-03,12:00:00
1216,64,2022-09-16,07:00:00
1217,494,2022-10-13,14:00:00
1219,886,2022-11-13,04:00:00
1220,448,2022-10-02,20:00:00
1221,391,2022-10-07,11:00:00
1222,451,2022-09-20,21:00:00
1223,83,2022-09-29,13:00:00
1224,648,2022-10-25,19:00:00
1225,153,2022-10-10,04:00:00
1228,659,2022-11-02,13:00:00
1229,887,2022-10-14,00:00:00
1231,576,2022-10-17,23:00:00
1234,682,2022-10-11,09:00:00
1235,789,2022-10-18,18:00:00
1238,99,2022-09-06,02:00:00
1239,801,2022-11-07,10:00:00
1240,639,2022-10-31,18:00:00
1241,90,2022-10-01,15:00:00
1242,28,2022-09-21,02:00:00
1243,692,2022-10-24,14:00:00
1245,843,2022-10-28,08:00:00
1247,469,2022-10-29,12:00:00
1249,266,2022-10-04,06:00:00
1250,397,2022-09-21,21:00:00
1252,323,2022-10-17,13:00:00
1253,728,2022-10-06,19:00:00
1254,816,2022-10-30,00:00:00
1255,747,2022-11-02,13:00:00
1256,776,2022-10-12,19:00:00
1257,651,2022-10-07,12:00:00
1258,101,2022-10-05,03:00:00
1263,489,2022-10-05,07:00:00
1264,96,2022-10-06,14:00:00
1265,408,2022-09-24,03:00:00
1267,437,2022-09-28,00:00:00
1268,234,2022-09-30,18:00:00
1269,93,2022-09-16,22:00:00
1276,761,2022-10-25,19:00:00
1278,436,2022-09-23,10:00:00
1279,908,2022-11-03,09:00:00
1280,473,2022-09-25,23:00:00
1282,459,2022-10-01,15:00:00
1284,111,2022-09-18,05:00:00
1285,302,2022-10-23,14:00:00
1288,196,2022-10-08,17:00:00
1290,669,2022-09-30,09:00:00
1291,496,2022-10-19,09:00:00
1296,339,2022-10-21,00:00:00
1297,86,2022-09-10,10:00:00
1299,284,2022-10-18,06:00:00
1300,429,2022-10-08,23:00:00
1301,232,2022-10-12,02:00:00
1302,879,2022-10-15,14:00:00
1303,827,2022-11-03,13:00:00
1305,750,2022-10-14,12:00:00
1306,588,2022-10-24,20:00:00
1307,823,2022-10-06,09:00:00
1308,57,2022-10-05,03:00:00
1309,554,2022-10-07,04:00:00
1312,197,2022-10-15,16:00:00
1313,486,2022-10-28,09:00:00
1314,547,2022-10-21,16:00:00
1315,328,2022-10-01,05:00:00
1316,599,2022-10-21,13:00:00
1317,28,2022-10-11,10:00:00
1318,825,2022-10-24,17:00:00
1319,86,2022-09-11,01:00:00
1322,256,2022-10-11,18:00:00
1324,422,2022-10-13,12:00:00
1326,774,2022-11-11,08:00:00
1327,305,2022-10-22,12:00:00
1328,324,2022-09-23,20:00:00
1329,816,2022-10-11,03:00:00
1330,249,2022-09-25,14:00:00
1331,280,2022-09-17,05:00:00
1333,167,2022-10-11,20:00:00
1335,956,2022-10-14,18:00:00
1336,405,2022-10-13,02:00:00
1338,45,2022-09-19,18:00:00
1339,469,2022-10-28,09:00:00
