ID,Fuente,fuente_codificada
764,Global Insight,11
10396,The Pulse,27
1819,World News Network,32
569,Evening Echo,7
4770,The Daily Dispatch,22
10442,Echo News,6
1920,The Reporter,28
4431,The Insight,25
1675,Urban News,30
5057,National Courier,15
9738,Global Gazette,10
7410,National Courier,15
5551,The Herald Tribune,23
8648,Press Pulse,18
9968,The Reporter,28
6818,Express Tribune,8
188,The Daily Dispatch,22
5028,The Observer,26
3,Central Times,1
7103,Press Pulse,18
4561,Daily Digest,5
7938,Frontline Times,9
4145,Press Pulse,18
479,Morning Star,14
6132,Voice of the Nation,31
6865,Echo News,6
2532,The Pulse,27
7986,Global Gazette,10
6622,Global Gazette,10
4246,Daily Digest,5
9785,World News Network,32
708,Insider Insights,12
5485,City Times,3
9748,The Insight,25
4563,Newsline,17
6351,Star Sentinel,19
944,Times Today,29
9652,Urban News,30
821,Urban News,30
6893,City Beat,2
7831,National Courier,15
5114,The Observer,26
4630,Global Insight,11
3887,The Insight,25
9253,Central Times,1
8577,Star Sentinel,19
10130,Sunrise Chronicle,20
500,The Pulse,27
10391,Capital Gazette,0
2497,City Beat,2
9742,The Insight,25
7946,Morning Star,14
6939,The Insight,25
7317,Capital Gazette,0
2837,Global Gazette,10
6814,Express Tribune,8
5871,The Daily Dispatch,22
3870,The Insight,25
868,Evening Echo,7
1115,Insider Insights,12
6863,The Reporter,28
449,Global Gazette,10
2768,Voice of the Nation,31
10300,The Insight,25
9765,Sunrise Chronicle,20
9569,Evening Echo,7
3855,The Insight,25
6220,Central Times,1
5849,The Herald Tribune,23
1318,Urban News,30
972,The Insight,25
109,Global Gazette,10
2691,Morning Star,14
5772,The Reporter,28
4397,City Beat,2
8902,The Insight,25
2052,Urban News,30
5760,Global Gazette,10
7169,Central Times,1
7966,Star Sentinel,19
605,City Beat,2
6895,National Courier,15
819,City Beat,2
9302,Capital Gazette,0
9565,Global Insight,11
1883,Capital Gazette,0
3682,Daily Beacon,4
5826,The Daily Dispatch,22
5190,The Daily Dispatch,22
2139,The Herald Tribune,23
6437,Times Today,29
7588,Global Insight,11
9443,Capital Gazette,0
2646,The Insight,25
1604,Express Tribune,8
1424,Times Today,29
6745,Capital Gazette,0
7314,Voice of the Nation,31
10056,The Insight,25
4484,Morning Star,14
9835,City Beat,2
6787,The Herald Tribune,23
1297,Press Pulse,18
5821,Evening Echo,7
6752,Echo News,6
8524,Newsflash,16
2732,Press Pulse,18
4088,Echo News,6
578,Global Gazette,10
1723,Daily Beacon,4
7047,Echo News,6
10133,Global Insight,11
3256,World News Network,32
2786,Global Gazette,10
9930,The Insight,25
4514,Urban News,30
1612,Newsflash,16
1951,The Observer,26
9189,Press Pulse,18
5105,The Daily Dispatch,22
5401,Morning Star,14
2987,Metro News,13
1653,Voice of the Nation,31
10061,The Observer,26
6323,National Courier,15
6742,The Herald Tribune,23
5891,The Informer,24
462,The Informer,24
2102,City Times,3
6074,The Herald Tribune,23
1530,Capital Gazette,0
2588,The Herald Tribune,23
6982,The Reporter,28
7498,The Observer,26
10060,The Chronicle,21
9093,The Insight,25
4797,The Insight,25
5134,Daily Digest,5
1535,Urban News,30
5128,City Times,3
4126,The Pulse,27
9102,The Insight,25
7132,Daily Beacon,4
1222,The Chronicle,21
2005,Daily Digest,5
9514,Newsline,17
7940,Sunrise Chronicle,20
3081,National Courier,15
324,The Herald Tribune,23
5482,The Pulse,27
10241,World News Network,32
9364,Morning Star,14
7276,Star Sentinel,19
17,Times Today,29
7789,Daily Digest,5
8906,Daily Digest,5
10522,The Pulse,27
1005,City Times,3
9397,The Daily Dispatch,22
4050,Star Sentinel,19
419,The Observer,26
3897,Urban News,30
3761,Express Tribune,8
8332,The Daily Dispatch,22
4197,Global Insight,11
193,Global Insight,11
8974,The Chronicle,21
9008,Times Today,29
1014,Evening Echo,7
126,Global Insight,11
1857,The Daily Dispatch,22
1059,Daily Beacon,4
7236,Sunrise Chronicle,20
10001,Newsline,17
3456,The Pulse,27
9613,Sunrise Chronicle,20
6972,Frontline Times,9
5728,Daily Beacon,4
7166,Global Insight,11
9965,Newsline,17
7264,Express Tribune,8
2211,The Insight,25
8421,The Daily Dispatch,22
5177,The Herald Tribune,23
5185,Voice of the Nation,31
7433,Newsline,17
5682,Capital Gazette,0
5082,Central Times,1
8594,The Informer,24
2086,Daily Digest,5
4844,Capital Gazette,0
10152,The Observer,26
4494,Newsflash,16
7913,Global Gazette,10
2222,Newsflash,16
9275,Voice of the Nation,31
5413,The Insight,25
7742,The Chronicle,21
8651,The Insight,25
3566,The Insight,25
9381,Global Insight,11
6837,The Reporter,28
2624,World News Network,32
9771,Echo News,6
6474,Central Times,1
1066,Newsline,17
7217,Express Tribune,8
825,Evening Echo,7
9701,Newsflash,16
5445,Morning Star,14
2706,Daily Digest,5
2574,World News Network,32
4996,Morning Star,14
3764,Evening Echo,7
7313,Frontline Times,9
8956,City Beat,2
6551,Evening Echo,7
3168,The Insight,25
3494,Newsline,17
9014,Frontline Times,9
6552,Newsline,17
5325,Daily Digest,5
131,City Times,3
7038,National Courier,15
6728,The Herald Tribune,23
3073,The Pulse,27
4047,Morning Star,14
5484,Newsline,17
5083,The Reporter,28
8039,Voice of the Nation,31
6936,City Times,3
10028,Voice of the Nation,31
4027,National Courier,15
4587,Times Today,29
9242,Daily Digest,5
9623,The Daily Dispatch,22
6159,Newsline,17
6367,Echo News,6
497,The Daily Dispatch,22
1532,Daily Beacon,4
6090,Sunrise Chronicle,20
4696,Metro News,13
6210,National Courier,15
8283,World News Network,32
3821,World News Network,32
7271,Daily Digest,5
2519,The Chronicle,21
9917,Morning Star,14
7524,The Pulse,27
9913,Echo News,6
806,National Courier,15
6633,Daily Beacon,4
5236,Morning Star,14
8389,Voice of the Nation,31
9487,Insider Insights,12
8326,Metro News,13
7381,Urban News,30
7216,Evening Echo,7
1994,Urban News,30
9314,The Observer,26
5329,Star Sentinel,19
4070,Evening Echo,7
612,Urban News,30
5089,The Herald Tribune,23
10270,Daily Digest,5
8752,Daily Beacon,4
1162,Daily Beacon,4
4052,World News Network,32
7114,Daily Beacon,4
10444,Newsline,17
7146,Newsflash,16
5538,Insider Insights,12
2004,Newsline,17
9804,The Insight,25
911,Sunrise Chronicle,20
8376,Echo News,6
7090,Sunrise Chronicle,20
5146,The Insight,25
10,The Insight,25
8505,Global Insight,11
2893,Evening Echo,7
4434,Evening Echo,7
814,The Pulse,27
9432,Voice of the Nation,31
7677,The Insight,25
7095,Express Tribune,8
6859,Global Insight,11
2036,The Herald Tribune,23
7305,The Insight,25
10453,The Reporter,28
90,The Informer,24
5546,The Insight,25
3559,Newsline,17
7425,Voice of the Nation,31
6880,The Insight,25
1241,Press Pulse,18
9998,Evening Echo,7
6830,Frontline Times,9
7000,Global Gazette,10
8417,The Informer,24
8422,Voice of the Nation,31
10439,The Informer,24
4806,Star Sentinel,19
7667,The Daily Dispatch,22
4398,City Beat,2
8032,City Times,3
756,Evening Echo,7
7304,World News Network,32
3386,Star Sentinel,19
10501,Press Pulse,18
4178,Newsline,17
1845,The Pulse,27
3032,Urban News,30
8938,Frontline Times,9
6600,Sunrise Chronicle,20
5612,The Insight,25
2905,Central Times,1
2593,World News Network,32
3837,Press Pulse,18
10113,The Daily Dispatch,22
3666,The Pulse,27
2219,Daily Beacon,4
3848,The Herald Tribune,23
9409,The Herald Tribune,23
5268,The Reporter,28
7823,The Insight,25
5596,Morning Star,14
4328,Sunrise Chronicle,20
9293,City Beat,2
5142,Voice of the Nation,31
7480,The Informer,24
837,The Insight,25
2087,The Observer,26
5547,World News Network,32
10410,World News Network,32
2181,Voice of the Nation,31
5590,The Reporter,28
5502,Daily Beacon,4
3247,Sunrise Chronicle,20
7127,National Courier,15
2844,The Daily Dispatch,22
9169,National Courier,15
3622,Capital Gazette,0
5850,The Chronicle,21
3551,The Herald Tribune,23
8762,Sunrise Chronicle,20
9428,The Insight,25
3736,City Beat,2
9535,City Times,3
4306,Metro News,13
3974,The Daily Dispatch,22
6246,City Times,3
5602,Central Times,1
9303,Global Insight,11
3202,Press Pulse,18
3466,Central Times,1
1364,The Insight,25
7200,Newsflash,16
1019,The Reporter,28
5336,Capital Gazette,0
9764,National Courier,15
2089,City Times,3
2189,Sunrise Chronicle,20
2258,The Insight,25
7375,Metro News,13
524,National Courier,15
5147,Times Today,29
7014,Daily Beacon,4
1783,Star Sentinel,19
171,National Courier,15
736,The Reporter,28
4283,Echo News,6
10304,City Beat,2
3691,The Daily Dispatch,22
8709,Newsflash,16
2627,Press Pulse,18
2237,The Daily Dispatch,22
1064,City Beat,2
849,Daily Digest,5
1802,Press Pulse,18
7670,City Beat,2
10462,Newsline,17
9463,Express Tribune,8
10340,Newsline,17
1875,Newsflash,16
62,Central Times,1
3957,Daily Beacon,4
9525,The Pulse,27
4268,Sunrise Chronicle,20
8949,Newsline,17
6989,The Chronicle,21
7210,The Observer,26
3215,The Insight,25
9474,Echo News,6
1753,Central Times,1
4906,Metro News,13
1235,The Reporter,28
4360,City Beat,2
9977,The Observer,26
6167,Daily Beacon,4
4076,The Chronicle,21
9019,Global Gazette,10
347,The Insight,25
2921,City Beat,2
3002,The Observer,26
7484,City Times,3
3067,Metro News,13
2912,Evening Echo,7
6432,Central Times,1
5088,Newsline,17
602,The Informer,24
8181,The Informer,24
8635,The Herald Tribune,23
3173,Evening Echo,7
4689,The Daily Dispatch,22
4327,Global Insight,11
10179,The Informer,24
2084,Global Gazette,10
5671,The Chronicle,21
8497,City Times,3
5673,Express Tribune,8
6319,The Chronicle,21
1155,Insider Insights,12
486,City Beat,2
2735,Newsflash,16
5812,Voice of the Nation,31
7222,Press Pulse,18
7223,Sunrise Chronicle,20
3809,Morning Star,14
2386,Echo News,6
7922,Times Today,29
8397,Express Tribune,8
8525,Urban News,30
9232,Newsline,17
4370,Metro News,13
10247,City Times,3
7345,National Courier,15
2018,Star Sentinel,19
6672,Voice of the Nation,31
3641,Sunrise Chronicle,20
1556,Insider Insights,12
322,Sunrise Chronicle,20
5408,Star Sentinel,19
10372,Global Insight,11
2797,Metro News,13
1224,Frontline Times,9
5439,Metro News,13
5623,World News Network,32
8473,Times Today,29
5606,The Insight,25
5753,Global Insight,11
2775,The Insight,25
10085,The Herald Tribune,23
6057,The Herald Tribune,23
5544,The Herald Tribune,23
144,Evening Echo,7
750,Press Pulse,18
72,Echo News,6
7363,Newsline,17
3946,Star Sentinel,19
1006,The Informer,24
3506,Daily Beacon,4
8560,The Observer,26
9097,The Reporter,28
9780,Daily Beacon,4
639,Star Sentinel,19
5899,Evening Echo,7
4207,The Herald Tribune,23
7590,Urban News,30
7587,Central Times,1
382,Metro News,13
6433,The Chronicle,21
5751,The Daily Dispatch,22
1471,Voice of the Nation,31
10557,World News Network,32
5313,The Pulse,27
9927,Frontline Times,9
4842,National Courier,15
2877,Capital Gazette,0
2241,The Daily Dispatch,22
2186,Daily Beacon,4
4759,Press Pulse,18
402,Capital Gazette,0
2421,Metro News,13
10441,Daily Digest,5
7732,Sunrise Chronicle,20
1791,Central Times,1
2863,World News Network,32
9848,Times Today,29
8082,Evening Echo,7
10457,Newsline,17
1983,The Insight,25
4429,Times Today,29
6970,Metro News,13
5939,The Insight,25
10016,Daily Digest,5
9203,World News Network,32
1020,Global Gazette,10
4030,Frontline Times,9
1760,Press Pulse,18
5585,The Insight,25
5701,Metro News,13
3777,The Chronicle,21
10394,Global Insight,11
7635,City Beat,2
1742,The Insight,25
7258,Capital Gazette,0
244,City Times,3
2806,The Reporter,28
1734,The Insight,25
4629,Metro News,13
6722,Frontline Times,9
8590,Metro News,13
9375,The Insight,25
1190,Star Sentinel,19
10420,Central Times,1
5176,Express Tribune,8
1039,The Reporter,28
4786,The Reporter,28
3859,The Pulse,27
6223,Metro News,13
4459,The Insight,25
3727,Evening Echo,7
1630,World News Network,32
3750,Newsline,17
3829,The Insight,25
7560,The Observer,26
3127,The Daily Dispatch,22
1902,The Informer,24
908,The Daily Dispatch,22
7426,Times Today,29
5674,Urban News,30
8699,Voice of the Nation,31
68,The Chronicle,21
8773,The Insight,25
8933,Press Pulse,18
1280,The Insight,25
6017,Global Gazette,10
3303,Morning Star,14
10534,Echo News,6
6754,Star Sentinel,19
3788,City Times,3
1980,The Reporter,28
7438,The Chronicle,21
2291,Times Today,29
2995,The Reporter,28
9723,The Insight,25
7180,Times Today,29
8801,The Reporter,28
2162,Frontline Times,9
4709,Urban News,30
8640,Voice of the Nation,31
1386,Times Today,29
10042,Urban News,30
5569,Times Today,29
3856,The Insight,25
1785,World News Network,32
8396,The Chronicle,21
5113,Morning Star,14
5903,City Beat,2
2526,Capital Gazette,0
2445,Star Sentinel,19
1326,The Insight,25
8265,National Courier,15
4523,The Reporter,28
8527,Voice of the Nation,31
9205,National Courier,15
5513,Voice of the Nation,31
9964,The Insight,25
2434,Capital Gazette,0
6616,The Herald Tribune,23
1126,Echo News,6
5793,Urban News,30
7209,Insider Insights,12
7015,Global Gazette,10
4718,Express Tribune,8
8715,World News Network,32
9089,The Insight,25
4804,The Herald Tribune,23
10101,Global Insight,11
2938,City Beat,2
5165,The Observer,26
6905,Echo News,6
8024,Press Pulse,18
4542,City Times,3
4373,Central Times,1
1204,The Herald Tribune,23
4676,Insider Insights,12
1247,Evening Echo,7
3991,Morning Star,14
7526,The Herald Tribune,23
9615,City Times,3
4922,The Informer,24
6609,Voice of the Nation,31
10509,Capital Gazette,0
2527,The Informer,24
4830,The Insight,25
6886,Echo News,6
957,Newsflash,16
6541,Express Tribune,8
1079,Times Today,29
7221,Newsflash,16
3529,Press Pulse,18
8507,Star Sentinel,19
9824,The Informer,24
3209,The Pulse,27
3124,Express Tribune,8
4016,Urban News,30
6632,The Daily Dispatch,22
7794,The Pulse,27
10538,World News Network,32
9280,Capital Gazette,0
2946,Express Tribune,8
8336,The Insight,25
8883,The Informer,24
3869,Times Today,29
6887,The Informer,24
2611,Frontline Times,9
9119,Sunrise Chronicle,20
3904,National Courier,15
292,National Courier,15
7325,Morning Star,14
2216,Evening Echo,7
10529,The Insight,25
4686,World News Network,32
22,Voice of the Nation,31
7330,Voice of the Nation,31
668,Daily Beacon,4
10036,Star Sentinel,19
7478,Press Pulse,18
2436,Newsline,17
8596,Daily Beacon,4
701,Press Pulse,18
3932,Times Today,29
5195,Sunrise Chronicle,20
9401,City Times,3
7854,City Times,3
1502,Express Tribune,8
987,Global Insight,11
4292,Star Sentinel,19
10238,Newsline,17
2413,Capital Gazette,0
2092,Voice of the Nation,31
9827,Press Pulse,18
469,Urban News,30
5908,Echo News,6
2266,Global Gazette,10
4567,Morning Star,14
4732,National Courier,15
6606,Newsline,17
8927,The Informer,24
7625,Central Times,1
1929,The Herald Tribune,23
6589,Press Pulse,18
2124,Global Insight,11
5755,Daily Beacon,4
2411,Times Today,29
8919,World News Network,32
7232,City Beat,2
6678,Newsflash,16
4407,Metro News,13
5420,Urban News,30
7859,Global Gazette,10
4096,Star Sentinel,19
8550,The Informer,24
8354,The Chronicle,21
10549,The Insight,25
590,Urban News,30
4174,Daily Digest,5
6949,The Daily Dispatch,22
3435,Capital Gazette,0
1602,City Beat,2
8997,The Daily Dispatch,22
3112,Urban News,30
926,Global Gazette,10
9654,Insider Insights,12
1777,Morning Star,14
10023,Express Tribune,8
8319,The Insight,25
10378,City Beat,2
7665,Frontline Times,9
