ID,Autor,autor_codificado
9756,Grace Liu,14
2305,Desconocido,9
2228,Isabella Nguyen,15
3008,Daniel Patel,8
6851,Samantha Chen,29
3872,Sophie Chen,30
1884,Desconocido,9
4239,Avery Kim,4
3282,Sophie Chen,30
9239,Alexander Lee,0
4532,Mia Gupta,23
4130,Desconocido,9
6815,Chloe Nguyen,7
599,Desconocido,9
4577,Amelia Rivera,1
7154,Chloe Nguyen,7
7757,Benjamin Singh,5
1934,William Kumar,32
9557,Maxwell Rivera,22
5297,Gabriel Santos,13
5075,Desconocido,9
2076,Marcus Liu,21
8142,Mia Gupta,23
4714,Desconocido,9
6176,Chloe Nguyen,7
9402,Owen Rodriguez,28
6948,William Kumar,32
4911,Caleb Shah,6
9991,Isabella Nguyen,15
10555,Grace Liu,14
8549,Zoe Lee,34
2834,Owen Rodriguez,28
6035,Nora Patel,26
2281,Desconocido,9
9134,Amelia Rivera,1
6407,Desconocido,9
1938,Isabella Nguyen,15
1255,Amelia Rivera,1
4618,Alexander Lee,0
3602,Ava Murphy,3
6841,Ella Sharma,10
8756,Samantha Chen,29
5918,Desconocido,9
384,Desconocido,9
4492,Jacob Gupta,16
2432,Logan Wong,18
5307,Zoe Lee,34
8484,Xavier Chang,33
9948,Chloe Nguyen,7
2916,Desconocido,9
6058,Mia Gupta,23
4713,Sophie Chen,30
8767,Avery Kim,4
4217,Madison Wong,20
1770,Zoe Lee,34
9394,Gabriel Santos,13
8428,Aria Shah,2
3427,Desconocido,9
658,Zoe Lee,34
10357,Ella Sharma,10
4865,Alexander Lee,0
4031,Nora Patel,26
10257,Maxwell Rivera,22
2586,Daniel Patel,8
4045,Grace Liu,14
4632,Marcus Liu,21
71,Alexander Lee,0
7577,Emily Parker,11
1108,Ella Sharma,10
9485,Victoria Singh,31
4701,Isabella Nguyen,15
4929,William Kumar,32
6698,Aria Shah,2
667,Samantha Chen,29
8516,Olivia Kumar,27
3382,Desconocido,9
10048,Lucas Kim,19
5199,Noah Khan,25
1809,Nora Patel,26
5724,Noah Khan,25
2812,Emily Parker,11
4666,Daniel Patel,8
7892,Ava Murphy,3
9935,Ava Murphy,3
6810,Avery Kim,4
5847,Desconocido,9
7815,Ava Murphy,3
10183,Lucas Kim,19
6768,Lily Wang,17
10203,Benjamin Singh,5
4808,Jacob Gupta,16
9953,Michael Sharma,24
9625,Michael Sharma,24
4411,Marcus Liu,21
1754,Aria Shah,2
6872,Ethan Hayes,12
854,Desconocido,9
3137,Madison Wong,20
8643,Nora Patel,26
2010,Desconocido,9
9265,Avery Kim,4
1109,Daniel Patel,8
3592,Samantha Chen,29
5468,Alexander Lee,0
9044,Logan Wong,18
6203,Ella Sharma,10
6316,Maxwell Rivera,22
3147,Ava Murphy,3
4318,Avery Kim,4
1905,Desconocido,9
4051,Maxwell Rivera,22
3852,Avery Kim,4
6850,Ethan Hayes,12
205,Desconocido,9
6327,Desconocido,9
6442,Owen Rodriguez,28
3326,Zoe Lee,34
2968,Desconocido,9
3107,Michael Sharma,24
1284,Ava Murphy,3
2989,Grace Liu,14
6801,Amelia Rivera,1
3866,Desconocido,9
9196,Aria Shah,2
4796,Desconocido,9
9676,Desconocido,9
961,Lucas Kim,19
273,Mia Gupta,23
3398,Noah Khan,25
10194,Samantha Chen,29
263,Ava Murphy,3
1242,Gabriel Santos,13
2840,Desconocido,9
8772,Grace Liu,14
6862,Desconocido,9
6871,Madison Wong,20
7391,Sophie Chen,30
1570,Desconocido,9
2463,Daniel Patel,8
4469,Desconocido,9
2507,Zoe Lee,34
9283,Owen Rodriguez,28
8646,Zoe Lee,34
6784,Zoe Lee,34
1610,Desconocido,9
9508,Marcus Liu,21
4107,Owen Rodriguez,28
3474,Mia Gupta,23
8197,Michael Sharma,24
1181,Sophie Chen,30
624,Owen Rodriguez,28
5575,Caleb Shah,6
2042,Desconocido,9
8114,Alexander Lee,0
10246,Olivia Kumar,27
9029,Ava Murphy,3
1680,Emily Parker,11
2874,Aria Shah,2
6448,Desconocido,9
8294,Madison Wong,20
5244,Lily Wang,17
7338,Nora Patel,26
5926,Olivia Kumar,27
5914,Ethan Hayes,12
3888,Victoria Singh,31
763,Alexander Lee,0
739,Desconocido,9
9961,Olivia Kumar,27
1338,Desconocido,9
5258,Desconocido,9
4053,Michael Sharma,24
2678,Avery Kim,4
3495,Logan Wong,18
4930,Aria Shah,2
4904,Maxwell Rivera,22
6391,Maxwell Rivera,22
3146,Aria Shah,2
4489,Desconocido,9
9521,Madison Wong,20
4454,Lily Wang,17
4708,Ava Murphy,3
9340,Desconocido,9
8145,Olivia Kumar,27
1461,Chloe Nguyen,7
440,Lucas Kim,19
7844,Ava Murphy,3
3851,Amelia Rivera,1
334,Benjamin Singh,5
7928,Ethan Hayes,12
9168,Marcus Liu,21
6455,Chloe Nguyen,7
3767,Grace Liu,14
6135,Jacob Gupta,16
5215,Caleb Shah,6
5207,Ethan Hayes,12
10021,Gabriel Santos,13
5035,Owen Rodriguez,28
3103,Xavier Chang,33
6775,Lucas Kim,19
8263,Desconocido,9
1376,William Kumar,32
6494,Benjamin Singh,5
1510,Chloe Nguyen,7
356,Xavier Chang,33
8521,Owen Rodriguez,28
5722,Caleb Shah,6
2683,Olivia Kumar,27
8340,Avery Kim,4
4020,Desconocido,9
7006,Marcus Liu,21
3226,Caleb Shah,6
6287,Desconocido,9
7119,Michael Sharma,24
3375,Caleb Shah,6
3106,Isabella Nguyen,15
6804,Desconocido,9
5352,Amelia Rivera,1
2339,Owen Rodriguez,28
7771,Daniel Patel,8
2422,Samantha Chen,29
1597,Ella Sharma,10
4261,Xavier Chang,33
2640,Xavier Chang,33
10454,Alexander Lee,0
4477,Madison Wong,20
5184,Olivia Kumar,27
4648,Daniel Patel,8
3144,Lucas Kim,19
1784,Maxwell Rivera,22
9814,Ella Sharma,10
800,Xavier Chang,33
1518,Ella Sharma,10
6429,Chloe Nguyen,7
3938,Caleb Shah,6
3638,Logan Wong,18
6918,Marcus Liu,21
9825,Desconocido,9
7713,Lucas Kim,19
1829,Chloe Nguyen,7
6995,Marcus Liu,21
2845,Michael Sharma,24
317,Victoria Singh,31
3302,Desconocido,9
9645,Isabella Nguyen,15
9251,Benjamin Singh,5
8146,Desconocido,9
9722,Ava Murphy,3
162,Lily Wang,17
151,Xavier Chang,33
6170,Ella Sharma,10
2714,Olivia Kumar,27
3327,Ava Murphy,3
4147,Olivia Kumar,27
751,Zoe Lee,34
3993,Desconocido,9
3664,Caleb Shah,6
5438,Isabella Nguyen,15
6329,Amelia Rivera,1
4455,Desconocido,9
9769,Zoe Lee,34
235,Ethan Hayes,12
4359,Nora Patel,26
2462,Amelia Rivera,1
7877,Caleb Shah,6
5305,Noah Khan,25
8824,Desconocido,9
9453,Desconocido,9
4289,Owen Rodriguez,28
5434,Mia Gupta,23
6665,Gabriel Santos,13
743,Owen Rodriguez,28
9554,Nora Patel,26
8925,William Kumar,32
5061,Chloe Nguyen,7
7953,Avery Kim,4
1146,Lily Wang,17
6588,Chloe Nguyen,7
9586,Desconocido,9
6299,Avery Kim,4
10314,Zoe Lee,34
9648,Zoe Lee,34
9437,Xavier Chang,33
9444,Avery Kim,4
1027,William Kumar,32
9560,Amelia Rivera,1
5237,Jacob Gupta,16
8133,Sophie Chen,30
4122,Chloe Nguyen,7
266,Samantha Chen,29
10548,Michael Sharma,24
2551,Desconocido,9
10363,Ethan Hayes,12
5060,Xavier Chang,33
5183,Desconocido,9
2822,Nora Patel,26
4305,Amelia Rivera,1
1786,Desconocido,9
5685,Desconocido,9
2057,Ethan Hayes,12
6128,Grace Liu,14
7303,Isabella Nguyen,15
4601,Chloe Nguyen,7
8367,Victoria Singh,31
1996,Chloe Nguyen,7
4267,Desconocido,9
3077,Isabella Nguyen,15
2376,Avery Kim,4
9553,Grace Liu,14
2570,Grace Liu,14
4375,Amelia Rivera,1
6917,Daniel Patel,8
781,Aria Shah,2
7811,Marcus Liu,21
7529,Desconocido,9
8353,William Kumar,32
10250,William Kumar,32
2619,Emily Parker,11
8696,Lily Wang,17
9749,Desconocido,9
693,Amelia Rivera,1
4621,Emily Parker,11
7253,Olivia Kumar,27
5869,Olivia Kumar,27
1118,Alexander Lee,0
6369,Caleb Shah,6
7701,Michael Sharma,24
5223,Daniel Patel,8
6113,Olivia Kumar,27
9696,Gabriel Santos,13
10124,Isabella Nguyen,15
9390,Owen Rodriguez,28
217,Aria Shah,2
2634,Emily Parker,11
3134,Owen Rodriguez,28
8552,Grace Liu,14
1590,Desconocido,9
704,Noah Khan,25
7863,Caleb Shah,6
3982,Samantha Chen,29
8614,Desconocido,9
3140,Desconocido,9
1423,Desconocido,9
10518,Jacob Gupta,16
3828,Daniel Patel,8
9231,Jacob Gupta,16
8088,Olivia Kumar,27
1722,Mia Gupta,23
9307,Ava Murphy,3
1479,Lucas Kim,19
992,Desconocido,9
8483,William Kumar,32
1343,Gabriel Santos,13
10531,Owen Rodriguez,28
5330,Avery Kim,4
187,Xavier Chang,33
5209,Avery Kim,4
6975,Ella Sharma,10
9618,Madison Wong,20
4883,Lucas Kim,19
4750,Desconocido,9
7589,Michael Sharma,24
9640,Lily Wang,17
8059,Nora Patel,26
8692,Amelia Rivera,1
5020,Avery Kim,4
1171,Gabriel Santos,13
9614,Daniel Patel,8
7147,Amelia Rivera,1
764,Desconocido,9
10396,Daniel Patel,8
1819,Noah Khan,25
569,Lily Wang,17
4770,Emily Parker,11
10442,Gabriel Santos,13
1920,Ava Murphy,3
4431,Alexander Lee,0
1675,Samantha Chen,29
5057,Maxwell Rivera,22
9738,Xavier Chang,33
7410,Desconocido,9
5551,Chloe Nguyen,7
8648,Avery Kim,4
9968,Jacob Gupta,16
6818,Jacob Gupta,16
188,Victoria Singh,31
5028,Zoe Lee,34
3,Desconocido,9
7103,Ava Murphy,3
4561,William Kumar,32
7938,Desconocido,9
4145,Avery Kim,4
479,Xavier Chang,33
6132,Mia Gupta,23
6865,Alexander Lee,0
2532,Amelia Rivera,1
7986,Owen Rodriguez,28
6622,Emily Parker,11
4246,Nora Patel,26
9785,Ethan Hayes,12
708,Lucas Kim,19
5485,Daniel Patel,8
9748,Sophie Chen,30
4563,Ava Murphy,3
6351,Owen Rodriguez,28
944,Victoria Singh,31
9652,Desconocido,9
821,Desconocido,9
6893,Alexander Lee,0
7831,Lucas Kim,19
5114,Logan Wong,18
4630,Ella Sharma,10
3887,Marcus Liu,21
9253,Avery Kim,4
8577,Owen Rodriguez,28
10130,Logan Wong,18
500,Ella Sharma,10
10391,Michael Sharma,24
2497,Owen Rodriguez,28
9742,Ethan Hayes,12
7946,Lily Wang,17
6939,Daniel Patel,8
7317,Avery Kim,4
2837,Owen Rodriguez,28
6814,Isabella Nguyen,15
5871,Alexander Lee,0
3870,Mia Gupta,23
868,Isabella Nguyen,15
1115,Sophie Chen,30
6863,Xavier Chang,33
449,Chloe Nguyen,7
2768,Nora Patel,26
10300,Maxwell Rivera,22
9765,Marcus Liu,21
9569,Desconocido,9
3855,Sophie Chen,30
6220,Noah Khan,25
5849,Desconocido,9
1318,Owen Rodriguez,28
972,Jacob Gupta,16
109,Desconocido,9
2691,Xavier Chang,33
5772,Isabella Nguyen,15
4397,Ava Murphy,3
8902,Aria Shah,2
2052,William Kumar,32
5760,Mia Gupta,23
7169,Olivia Kumar,27
7966,Olivia Kumar,27
605,Owen Rodriguez,28
6895,Maxwell Rivera,22
819,Daniel Patel,8
9302,Desconocido,9
9565,Aria Shah,2
1883,Xavier Chang,33
3682,Avery Kim,4
5826,Samantha Chen,29
5190,Grace Liu,14
2139,Desconocido,9
6437,Mia Gupta,23
7588,Samantha Chen,29
9443,Madison Wong,20
2646,Olivia Kumar,27
1604,Michael Sharma,24
1424,Desconocido,9
6745,Ethan Hayes,12
7314,Desconocido,9
10056,Aria Shah,2
4484,Ella Sharma,10
9835,Olivia Kumar,27
6787,Desconocido,9
1297,Nora Patel,26
5821,Lily Wang,17
6752,Sophie Chen,30
8524,Emily Parker,11
2732,Avery Kim,4
4088,Olivia Kumar,27
578,Sophie Chen,30
1723,Chloe Nguyen,7
7047,Ethan Hayes,12
10133,Jacob Gupta,16
3256,Logan Wong,18
2786,Desconocido,9
9930,Desconocido,9
4514,Desconocido,9
1612,Samantha Chen,29
1951,Alexander Lee,0
9189,Isabella Nguyen,15
5105,Victoria Singh,31
5401,Victoria Singh,31
2987,Ella Sharma,10
1653,Samantha Chen,29
10061,Michael Sharma,24
6323,Xavier Chang,33
6742,Emily Parker,11
5891,Daniel Patel,8
462,Avery Kim,4
2102,Maxwell Rivera,22
6074,Aria Shah,2
1530,Victoria Singh,31
2588,Michael Sharma,24
6982,Michael Sharma,24
7498,Benjamin Singh,5
10060,Samantha Chen,29
9093,Desconocido,9
4797,Aria Shah,2
5134,Noah Khan,25
1535,Alexander Lee,0
5128,Logan Wong,18
4126,Amelia Rivera,1
9102,Zoe Lee,34
7132,Chloe Nguyen,7
1222,Lily Wang,17
2005,William Kumar,32
9514,Ava Murphy,3
7940,Benjamin Singh,5
3081,Marcus Liu,21
324,Emily Parker,11
5482,Michael Sharma,24
10241,Logan Wong,18
9364,Noah Khan,25
7276,Madison Wong,20
17,Mia Gupta,23
7789,Caleb Shah,6
8906,Gabriel Santos,13
10522,Marcus Liu,21
1005,William Kumar,32
9397,Amelia Rivera,1
4050,Desconocido,9
419,Mia Gupta,23
3897,Desconocido,9
3761,Isabella Nguyen,15
8332,Olivia Kumar,27
4197,Desconocido,9
193,Daniel Patel,8
8974,Aria Shah,2
9008,Maxwell Rivera,22
1014,Desconocido,9
126,Grace Liu,14
1857,Michael Sharma,24
1059,Lily Wang,17
7236,Ella Sharma,10
10001,Grace Liu,14
3456,Gabriel Santos,13
9613,Benjamin Singh,5
6972,Grace Liu,14
5728,Owen Rodriguez,28
7166,Michael Sharma,24
9965,William Kumar,32
7264,Ava Murphy,3
2211,Isabella Nguyen,15
8421,Aria Shah,2
5177,Desconocido,9
5185,Chloe Nguyen,7
7433,Marcus Liu,21
5682,Chloe Nguyen,7
5082,Victoria Singh,31
8594,Lily Wang,17
2086,Desconocido,9
4844,Daniel Patel,8
10152,Owen Rodriguez,28
4494,Ava Murphy,3
7913,Olivia Kumar,27
2222,Jacob Gupta,16
9275,Alexander Lee,0
5413,Chloe Nguyen,7
7742,Emily Parker,11
8651,Ella Sharma,10
3566,Avery Kim,4
9381,Lily Wang,17
6837,Noah Khan,25
2624,Madison Wong,20
9771,Desconocido,9
6474,Desconocido,9
1066,Sophie Chen,30
7217,Desconocido,9
825,Xavier Chang,33
9701,Desconocido,9
5445,Noah Khan,25
2706,Marcus Liu,21
2574,Grace Liu,14
4996,Caleb Shah,6
3764,Desconocido,9
7313,Caleb Shah,6
8956,Amelia Rivera,1
6551,Alexander Lee,0
3168,Avery Kim,4
3494,Aria Shah,2
9014,Samantha Chen,29
6552,Alexander Lee,0
5325,Sophie Chen,30
131,Gabriel Santos,13
7038,Benjamin Singh,5
6728,Amelia Rivera,1
3073,Isabella Nguyen,15
4047,William Kumar,32
5484,William Kumar,32
5083,Desconocido,9
8039,Maxwell Rivera,22
6936,Victoria Singh,31
10028,Amelia Rivera,1
4027,Emily Parker,11
4587,Emily Parker,11
9242,Noah Khan,25
9623,Aria Shah,2
6159,Marcus Liu,21
6367,Alexander Lee,0
497,Ethan Hayes,12
1532,Aria Shah,2
6090,Nora Patel,26
4696,Amelia Rivera,1
6210,Olivia Kumar,27
8283,Emily Parker,11
3821,Caleb Shah,6
7271,Daniel Patel,8
2519,Sophie Chen,30
9917,Ava Murphy,3
7524,Ella Sharma,10
9913,Marcus Liu,21
806,Desconocido,9
6633,Marcus Liu,21
5236,Daniel Patel,8
8389,Samantha Chen,29
9487,Avery Kim,4
8326,Benjamin Singh,5
7381,Chloe Nguyen,7
7216,Nora Patel,26
1994,Daniel Patel,8
9314,Desconocido,9
5329,Avery Kim,4
4070,Lily Wang,17
612,Marcus Liu,21
5089,Desconocido,9
10270,Owen Rodriguez,28
8752,Desconocido,9
1162,Avery Kim,4
4052,Desconocido,9
7114,Victoria Singh,31
10444,Olivia Kumar,27
7146,Ava Murphy,3
5538,Maxwell Rivera,22
2004,Avery Kim,4
9804,Desconocido,9
911,Emily Parker,11
8376,Owen Rodriguez,28
7090,Amelia Rivera,1
5146,Madison Wong,20
10,Zoe Lee,34
8505,Desconocido,9
2893,Ella Sharma,10
4434,Desconocido,9
814,Marcus Liu,21
9432,Marcus Liu,21
7677,Sophie Chen,30
7095,Lily Wang,17
6859,Lucas Kim,19
2036,Ella Sharma,10
7305,Madison Wong,20
10453,Ethan Hayes,12
90,Daniel Patel,8
5546,Marcus Liu,21
3559,Emily Parker,11
7425,Alexander Lee,0
6880,Desconocido,9
1241,Logan Wong,18
9998,Jacob Gupta,16
6830,Michael Sharma,24
7000,Isabella Nguyen,15
8417,Noah Khan,25
8422,Mia Gupta,23
10439,Desconocido,9
4806,Desconocido,9
7667,William Kumar,32
4398,Owen Rodriguez,28
8032,Desconocido,9
756,Desconocido,9
7304,Chloe Nguyen,7
3386,Caleb Shah,6
10501,Mia Gupta,23
4178,Daniel Patel,8
1845,Lily Wang,17
3032,Zoe Lee,34
8938,Desconocido,9
6600,Samantha Chen,29
5612,Desconocido,9
2905,Sophie Chen,30
2593,Amelia Rivera,1
3837,Logan Wong,18
10113,Zoe Lee,34
3666,Aria Shah,2
2219,Jacob Gupta,16
3848,Madison Wong,20
9409,Mia Gupta,23
5268,Grace Liu,14
7823,Olivia Kumar,27
5596,Noah Khan,25
4328,Gabriel Santos,13
9293,Desconocido,9
5142,Caleb Shah,6
7480,Owen Rodriguez,28
837,Logan Wong,18
2087,Emily Parker,11
5547,William Kumar,32
10410,Ava Murphy,3
2181,Marcus Liu,21
5590,Desconocido,9
5502,Zoe Lee,34
3247,Michael Sharma,24
7127,Desconocido,9
2844,Lucas Kim,19
9169,Amelia Rivera,1
3622,Desconocido,9
5850,Emily Parker,11
3551,Mia Gupta,23
8762,Grace Liu,14
9428,Desconocido,9
3736,Michael Sharma,24
9535,Jacob Gupta,16
4306,Desconocido,9
3974,Benjamin Singh,5
6246,Avery Kim,4
5602,Desconocido,9
9303,William Kumar,32
3202,Nora Patel,26
3466,Alexander Lee,0
1364,Avery Kim,4
7200,William Kumar,32
1019,Ethan Hayes,12
5336,Ethan Hayes,12
9764,Jacob Gupta,16
2089,Lucas Kim,19
2189,Xavier Chang,33
2258,Lucas Kim,19
7375,Samantha Chen,29
524,Alexander Lee,0
5147,Benjamin Singh,5
7014,Owen Rodriguez,28
1783,Avery Kim,4
171,Lucas Kim,19
736,Amelia Rivera,1
4283,Xavier Chang,33
10304,Avery Kim,4
3691,Caleb Shah,6
8709,Xavier Chang,33
2627,Mia Gupta,23
2237,Lucas Kim,19
1064,Michael Sharma,24
849,Chloe Nguyen,7
1802,Ella Sharma,10
7670,Noah Khan,25
10462,Nora Patel,26
9463,Mia Gupta,23
10340,Marcus Liu,21
1875,Benjamin Singh,5
62,Marcus Liu,21
3957,Chloe Nguyen,7
9525,Lily Wang,17
4268,Desconocido,9
8949,Marcus Liu,21
6989,Alexander Lee,0
7210,Chloe Nguyen,7
3215,William Kumar,32
9474,Daniel Patel,8
1753,Alexander Lee,0
4906,Ava Murphy,3
1235,Aria Shah,2
4360,Ava Murphy,3
9977,Ava Murphy,3
6167,Amelia Rivera,1
4076,Desconocido,9
9019,Gabriel Santos,13
347,Victoria Singh,31
2921,Desconocido,9
3002,Aria Shah,2
7484,Lily Wang,17
3067,Owen Rodriguez,28
2912,Avery Kim,4
6432,Xavier Chang,33
5088,Desconocido,9
602,Jacob Gupta,16
8181,Desconocido,9
8635,Daniel Patel,8
3173,Ava Murphy,3
4689,Sophie Chen,30
4327,Michael Sharma,24
10179,Samantha Chen,29
2084,Jacob Gupta,16
5671,Avery Kim,4
8497,Desconocido,9
5673,Desconocido,9
6319,Mia Gupta,23
1155,Lily Wang,17
486,Desconocido,9
2735,Logan Wong,18
5812,Ava Murphy,3
7222,William Kumar,32
7223,Owen Rodriguez,28
3809,Mia Gupta,23
2386,Emily Parker,11
7922,Amelia Rivera,1
8397,Desconocido,9
8525,Isabella Nguyen,15
9232,Daniel Patel,8
4370,Caleb Shah,6
10247,Zoe Lee,34
7345,Emily Parker,11
2018,Desconocido,9
6672,Desconocido,9
3641,Desconocido,9
1556,Isabella Nguyen,15
322,Olivia Kumar,27
5408,William Kumar,32
10372,William Kumar,32
2797,Olivia Kumar,27
1224,Mia Gupta,23
5439,Isabella Nguyen,15
5623,Benjamin Singh,5
8473,Madison Wong,20
5606,Desconocido,9
5753,Ella Sharma,10
2775,Avery Kim,4
10085,Michael Sharma,24
6057,Sophie Chen,30
5544,Ava Murphy,3
144,Desconocido,9
750,Ella Sharma,10
72,Amelia Rivera,1
7363,Gabriel Santos,13
3946,Samantha Chen,29
1006,Xavier Chang,33
3506,Xavier Chang,33
8560,Aria Shah,2
9097,Chloe Nguyen,7
9780,Emily Parker,11
639,Ella Sharma,10
5899,Sophie Chen,30
4207,Logan Wong,18
7590,Amelia Rivera,1
7587,Caleb Shah,6
382,Olivia Kumar,27
6433,Logan Wong,18
5751,Grace Liu,14
1471,Samantha Chen,29
10557,Grace Liu,14
5313,Amelia Rivera,1
9927,Chloe Nguyen,7
4842,Desconocido,9
2877,Emily Parker,11
2241,Lily Wang,17
2186,Madison Wong,20
4759,Aria Shah,2
402,Gabriel Santos,13
2421,Avery Kim,4
10441,Desconocido,9
7732,Isabella Nguyen,15
1791,Daniel Patel,8
2863,Avery Kim,4
9848,Avery Kim,4
8082,Xavier Chang,33
10457,Xavier Chang,33
1983,Desconocido,9
4429,Jacob Gupta,16
6970,Desconocido,9
5939,Michael Sharma,24
10016,Desconocido,9
9203,Grace Liu,14
1020,Samantha Chen,29
4030,Grace Liu,14
1760,Samantha Chen,29
5585,William Kumar,32
5701,Samantha Chen,29
3777,Desconocido,9
10394,Desconocido,9
7635,Nora Patel,26
1742,Avery Kim,4
7258,Emily Parker,11
244,Michael Sharma,24
2806,Isabella Nguyen,15
1734,Benjamin Singh,5
4629,Ella Sharma,10
6722,William Kumar,32
8590,William Kumar,32
9375,Gabriel Santos,13
1190,Benjamin Singh,5
10420,Benjamin Singh,5
5176,Ella Sharma,10
1039,Daniel Patel,8
4786,Owen Rodriguez,28
3859,Nora Patel,26
6223,Gabriel Santos,13
4459,Alexander Lee,0
3727,Amelia Rivera,1
1630,Chloe Nguyen,7
3750,Chloe Nguyen,7
3829,Owen Rodriguez,28
7560,Gabriel Santos,13
3127,William Kumar,32
1902,Ella Sharma,10
908,Lily Wang,17
7426,Marcus Liu,21
5674,Aria Shah,2
8699,Mia Gupta,23
68,Chloe Nguyen,7
8773,Ella Sharma,10
8933,Desconocido,9
1280,Isabella Nguyen,15
6017,Chloe Nguyen,7
3303,Gabriel Santos,13
10534,Xavier Chang,33
6754,Daniel Patel,8
3788,Amelia Rivera,1
1980,Desconocido,9
7438,Chloe Nguyen,7
2291,Lily Wang,17
2995,Desconocido,9
9723,Avery Kim,4
7180,Noah Khan,25
8801,Alexander Lee,0
2162,Avery Kim,4
4709,Olivia Kumar,27
8640,Desconocido,9
1386,Michael Sharma,24
